Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 12, 2023",218.98,221.29,206.09,214.68,"943,655,306.00","33,497,896,124.00"
"Jun 11, 2023",222.33,222.58,218.09,219.01,"349,852,506.00","34,123,047,064.00"
"Jun 10, 2023",242.53,242.55,216.92,222.34,"993,976,024.00","34,666,625,387.00"
"Jun 09, 2023",243.13,245.08,238.09,242.55,"455,778,717.00","37,686,056,257.00"
"Jun 08, 2023",242.27,249.14,240.66,243.13,"525,691,197.00","38,158,881,263.00"
"Jun 07, 2023",263.10,263.10,239.19,242.26,"896,129,691.00","37,787,432,115.00"
"Jun 06, 2023",258.54,267.11,256.46,263.11,"645,848,653.00","40,959,373,100.00"
"Jun 05, 2023",285.29,285.29,254.72,258.50,"868,027,534.00","40,343,418,569.00"
"Jun 04, 2023",286.29,286.78,285.15,285.28,"255,237,599.00","44,392,922,892.00"
"Jun 03, 2023",286.96,287.67,285.29,286.29,"243,613,546.00","44,620,422,833.00"
"Jun 02, 2023",283.40,286.36,282.29,286.95,"355,247,525.00","44,528,492,163.00"
"Jun 01, 2023",286.98,287.63,283.96,283.41,"331,882,730.00","44,446,654,857.00"
"May 31, 2023",290.45,290.98,286.84,286.97,"442,068,275.00","44,566,658,677.00"
"May 30, 2023",291.23,292.77,290.24,290.44,"366,164,312.00","45,371,972,216.00"
"May 29, 2023",293.14,295.75,290.16,291.23,"506,734,835.00","45,327,866,834.00"
"May 28, 2023",286.62,293.28,286.08,293.13,"377,980,107.00","45,643,143,623.00"
"May 27, 2023",285.98,286.64,283.66,286.63,"308,982,450.00","44,673,264,423.00"
"May 26, 2023",284.16,287.76,281.26,285.97,"443,564,665.00","44,603,237,123.00"
"May 25, 2023",284.43,285.25,281.99,284.17,"372,942,171.00","44,156,021,433.00"
"May 24, 2023",291.12,291.15,282.68,284.44,"388,909,973.00","44,275,120,631.00"
"May 23, 2023",286.06,291.66,286.02,291.11,"334,452,020.00","45,197,908,113.00"
"May 22, 2023",283.23,287.47,281.91,286.05,"328,165,728.00","44,535,518,157.00"
"May 21, 2023",287.23,287.98,283.19,283.21,"279,920,061.00","44,161,440,798.00"
"May 20, 2023",285.61,288.28,284.78,287.24,"256,408,368.00","44,764,760,991.00"
"May 19, 2023",287.19,287.82,286.13,285.59,"310,564,951.00","44,690,817,540.00"
"May 18, 2023",289.81,290.33,284.86,287.20,"353,434,026.00","44,502,566,624.00"
"May 17, 2023",286.56,289.88,284.05,289.80,"402,845,237.00","45,052,378,282.00"
"May 16, 2023",288.36,288.74,285.15,286.57,"370,615,661.00","44,632,814,405.00"
"May 15, 2023",287.60,290.86,286.59,288.34,"398,294,836.00","45,025,404,079.00"
"May 14, 2023",284.42,287.67,283.43,287.60,"369,799,566.00","44,479,498,657.00"
"May 13, 2023",282.12,285.16,281.40,284.42,"351,995,943.00","44,321,052,874.00"
"May 12, 2023",281.97,282.82,276.03,282.09,"467,134,314.00","44,078,155,117.00"
"May 11, 2023",286.44,286.44,279.40,281.97,"441,553,915.00","43,666,831,942.00"
"May 10, 2023",285.00,288.35,281.54,286.43,"497,244,504.00","44,716,556,124.00"
"May 09, 2023",285.54,287.62,284.17,285.02,"419,371,807.00","44,293,454,740.00"
"May 08, 2023",291.72,292.53,283.46,285.51,"577,585,453.00","44,413,046,762.00"
"May 07, 2023",287.90,290.63,291.75,291.89,"390,629,927.00","44,713,547,800.00"
"May 06, 2023",291.64,293.24,285.96,287.92,"440,897,487.00","44,875,293,145.00"
"May 05, 2023",293.86,298.62,293.86,291.63,"470,912,787.00","46,228,065,899.00"
"May 04, 2023",294.71,296.17,293.55,293.85,"421,975,543.00","45,611,544,693.00"
"May 03, 2023",292.42,295.65,290.82,294.71,"746,568,203.00","46,176,325,168.00"
"May 02, 2023",299.70,299.72,292.39,292.39,"626,109,931.00","45,748,271,070.00"
"May 01, 2023",306.61,308.37,297.80,299.69,"828,814,001.00","46,531,719,399.00"
"Apr 30, 2023",289.47,306.92,288.23,306.65,"777,558,767.00","47,293,928,808.00"
"Apr 29, 2023",291.62,291.85,289.26,289.49,"482,438,468.00","45,122,689,609.00"
