Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 12, 2023","24,124.82","24,209.35","23,915.75","24,067.70","10,863,111,934.00","467,462,121,012.00"
"Jun 11, 2023","24,042.44","24,362.12","23,870.36","24,130.30","9,980,575,648.00","467,969,590,667.00"
"Jun 10, 2023","24,636.49","24,682.34","23,714.92","24,039.84","18,488,167,331.00","466,533,946,360.00"
"Jun 09, 2023","24,583.03","24,859.05","24,438.09","24,635.20","10,216,417,431.00","476,393,283,735.00"
"Jun 08, 2023","24,607.60","24,855.74","24,505.20","24,585.15","11,118,605,889.00","480,213,558,836.00"
"Jun 07, 2023","25,457.05","25,534.54","24,439.04","24,606.06","18,254,655,018.00","477,626,490,554.00"
"Jun 06, 2023","24,023.45","25,540.83","23,742.18","25,459.98","20,473,496,699.00","493,211,987,726.00"
"Jun 05, 2023","25,356.17","25,372.67","23,747.29","24,049.58","20,111,809,197.00","467,041,832,296.00"
"Jun 04, 2023","25,271.92","25,598.98","25,172.14","25,352.40","8,737,475,558.00","490,893,945,287.00"
"Jun 03, 2023","25,437.32","25,497.74","25,162.60","25,271.93","7,827,116,679.00","490,075,711,928.00"
"Jun 02, 2023","24,929.24","25,485.42","24,698.26","25,434.77","13,789,062,606.00","491,069,492,585.00"
"Jun 01, 2023","25,453.30","25,577.33","24,946.99","24,924.98","13,727,039,183.00","486,320,050,483.00"
"May 31, 2023","25,812.10","25,936.51","25,236.04","25,454.46","14,589,029,718.00","491,793,294,576.00"
"May 30, 2023","25,913.95","26,131.18","25,720.68","25,813.80","12,376,510,449.00","501,657,436,325.00"
"May 29, 2023","26,186.78","26,524.65","25,723.38","25,914.66","14,159,971,240.00","501,735,453,626.00"
"May 28, 2023","25,039.89","26,294.08","24,976.14","26,196.16","13,553,972,182.00","507,377,052,204.00"
"May 27, 2023","24,899.20","25,056.41","24,806.91","25,037.28","7,354,174,309.00","485,361,656,627.00"
"May 26, 2023","24,687.89","25,104.24","24,543.26","24,898.37","11,853,928,141.00","482,996,687,042.00"
"May 25, 2023","24,480.00","24,801.27","24,099.74","24,689.78","12,878,178,285.00","477,158,117,290.00"
"May 24, 2023","25,279.41","25,279.41","24,262.38","24,484.98","15,134,533,417.00","473,969,709,556.00"
"May 23, 2023","24,841.84","25,394.01","24,806.82","25,280.45","12,669,953,999.00","488,110,790,403.00"
"May 22, 2023","24,716.98","25,005.30","24,529.72","24,837.51","10,216,489,105.00","480,852,941,364.00"
"May 21, 2023","25,069.03","25,205.38","24,711.94","24,720.62","7,993,914,329.00","479,306,176,314.00"
"May 20, 2023","24,854.70","25,102.99","24,812.58","25,079.35","6,511,963,816.00","485,973,404,622.00"
"May 19, 2023","24,897.00","25,090.36","24,681.51","24,855.89","10,449,079,596.00","483,599,673,519.00"
"May 18, 2023","25,283.09","25,343.97","24,533.50","24,902.06","14,045,977,103.00","479,737,083,823.00"
"May 17, 2023","24,881.36","25,338.47","24,603.94","25,280.46","13,933,696,593.00","488,590,413,323.00"
"May 16, 2023","24,988.75","25,092.81","24,707.42","24,882.45","11,709,419,875.00","481,764,255,265.00"
"May 15, 2023","24,814.44","25,414.26","24,664.02","25,008.22","13,280,279,707.00","485,431,720,524.00"
"May 14, 2023","24,492.78","24,823.76","24,376.10","24,813.76","9,156,445,339.00","477,021,607,736.00"
"May 13, 2023","24,504.98","24,708.56","24,416.41","24,488.31","9,140,242,764.00","474,302,453,585.00"
