Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 12, 2023","1,630.76","1,631.09","1,604.84","1,619.10","5,610,569,198.00","194,881,863,819.00"
"Jun 11, 2023","1,629.73","1,651.99","1,619.11","1,631.08","4,239,655,934.00","196,037,007,292.00"
"Jun 10, 2023","1,712.15","1,716.24","1,601.49","1,629.60","10,036,746,909.00","196,004,656,085.00"
"Jun 09, 2023","1,712.15","1,722.40","1,701.91","1,712.00","4,276,334,127.00","205,197,952,755.00"
"Jun 08, 2023","1,711.49","1,726.28","1,708.73","1,712.36","4,236,472,649.00","207,322,431,859.00"
"Jun 07, 2023","1,761.32","1,769.25","1,703.27","1,711.38","7,402,693,667.00","205,924,487,252.00"
"Jun 06, 2023","1,690.36","1,773.49","1,681.52","1,761.43","8,126,421,425.00","211,534,768,290.00"
"Jun 05, 2023","1,767.27","1,768.30","1,660.70","1,691.52","8,644,223,730.00","203,654,832,319.00"
"Jun 04, 2023","1,766.36","1,782.85","1,760.07","1,767.36","3,497,489,652.00","212,169,313,339.00"
"Jun 03, 2023","1,780.39","1,781.69","1,759.91","1,766.38","3,241,021,119.00","212,383,464,657.00"
"Jun 02, 2023","1,730.83","1,783.68","1,721.20","1,780.23","5,666,903,679.00","213,130,023,074.00"
"Jun 01, 2023","1,752.39","1,765.30","1,726.84","1,730.63","5,274,271,433.00","209,400,199,205.00"
"May 31, 2023","1,771.49","1,777.18","1,737.41","1,752.59","5,576,530,374.00","209,997,942,365.00"
"May 30, 2023","1,768.15","1,785.80","1,757.64","1,771.43","5,009,452,758.00","213,513,656,038.00"
"May 29, 2023","1,780.85","1,797.19","1,753.61","1,768.13","5,488,777,205.00","212,335,350,637.00"
"May 28, 2023","1,706.31","1,786.49","1,701.06","1,782.36","5,926,203,101.00","214,138,116,591.00"
"May 27, 2023","1,703.96","1,711.05","1,693.63","1,706.33","2,997,516,981.00","205,197,450,473.00"
"May 26, 2023","1,683.89","1,713.17","1,676.20","1,704.06","5,083,590,984.00","205,076,456,007.00"
"May 25, 2023","1,673.42","1,693.73","1,641.39","1,684.10","5,877,635,398.00","201,928,545,717.00"
"May 24, 2023","1,721.81","1,721.81","1,652.79","1,673.66","6,594,234,710.00","201,017,181,066.00"
"May 23, 2023","1,681.45","1,729.92","1,680.21","1,721.89","6,308,564,083.00","206,293,887,838.00"
"May 22, 2023","1,667.68","1,688.90","1,656.47","1,681.23","4,190,206,734.00","201,981,364,067.00"
"May 21, 2023","1,682.59","1,689.78","1,665.62","1,667.39","3,130,823,968.00","200,631,333,980.00"
"May 20, 2023","1,675.63","1,690.79","1,671.27","1,682.90","2,728,363,195.00","202,390,037,051.00"
"May 19, 2023","1,671.44","1,688.99","1,669.56","1,675.47","4,451,106,864.00","202,328,060,467.00"
"May 18, 2023","1,681.20","1,692.46","1,647.82","1,672.12","5,234,506,653.00","199,955,706,425.00"
"May 17, 2023","1,678.73","1,689.51","1,649.67","1,681.00","5,846,040,401.00","201,678,386,935.00"
"May 16, 2023","1,670.87","1,684.31","1,652.96","1,678.78","5,146,419,440.00","201,791,583,398.00"
"May 15, 2023","1,658.85","1,696.68","1,647.15","1,671.54","6,218,392,899.00","205,922,723,891.00"
"May 14, 2023","1,642.16","1,667.19","1,650.74","1,658.97","4,307,393,567.00","202,400,190,248.00"
"May 13, 2023","1,653.04","1,660.06","1,634.85","1,642.16","4,248,399,373.00","201,684,839,248.00"
"May 12, 2023","1,645.11","1,656.74","1,594.65","1,652.71","8,290,907,136.00","203,468,486,857.00"
"May 11, 2023","1,677.64","1,677.64","1,624.98","1,646.31","7,606,411,293.00","196,797,599,029.00"
"May 10, 2023","1,685.61","1,715.17","1,637.06","1,677.56","9,070,540,149.00","202,170,669,910.00"
"May 09, 2023","1,681.45","1,697.16","1,666.52","1,685.96","5,573,906,103.00","202,271,424,776.00"
"May 08, 2023","1,699.41","1,711.32","1,652.26","1,681.44","8,980,557,908.00","201,939,643,675.00"
"May 07, 2023","1,694.75","1,725.15","1,699.96","1,699.96","6,140,545,314.00","201,072,069,559.00"
"May 06, 2023","1,779.99","1,799.68","1,668.60","1,695.02","8,584,029,021.00","204,007,511,724.00"
"May 05, 2023","1,703.55","1,788.99","1,703.14","1,779.61","8,616,718,225.00","217,856,931,997.00"
"May 04, 2023","1,721.21","1,732.91","1,696.35","1,703.43","5,943,243,973.00","204,205,451,230.00"
"May 03, 2023","1,698.94","1,730.09","1,672.37","1,720.74","7,543,797,736.00","208,235,226,026.00"
"May 02, 2023","1,669.94","1,708.48","1,660.15","1,699.04","6,871,121,775.00","205,330,265,873.00"
"May 01, 2023","1,697.30","1,713.82","1,648.24","1,670.15","7,833,832,793.00","200,306,444,604.00"
"Apr 30, 2023","1,715.34","1,742.01","1,704.60","1,704.60","5,877,006,196.00","203,078,010,264.00"
"Apr 29, 2023","1,700.85","1,722.73","1,696.74","1,715.49","4,310,750,475.00","206,548,688,543.00"
"Apr 28, 2023","1,730.74","1,748.55","1,700.55","1,700.80","6,972,510,972.00","206,559,124,752.00"
"Apr 27, 2023","1,690.04","1,756.94","1,686.83","1,730.30","12,682,456,911.00","208,072,824,394.00"
"Apr 26, 2023","1,699.89","1,775.51","1,624.28","1,689.92","13,077,501,911.00","204,720,902,463.00"
"Apr 25, 2023","1,666.03","1,710.55","1,643.55","1,700.44","7,847,423,508.00","203,274,644,480.00"
"Apr 24, 2023","1,694.06","1,718.08","1,641.79","1,666.53","7,676,762,704.00","201,862,657,699.00"
"Apr 23, 2023","1,688.98","1,696.24","1,673.41","1,694.04","5,954,536,506.00","202,059,083,347.00"
"Apr 22, 2023","1,666.55","1,700.34","1,663.45","1,689.03","6,281,838,665.00","203,382,770,252.00"
"Apr 21, 2023","1,771.89","1,783.12","1,663.08","1,667.19","10,981,270,995.00","203,109,192,519.00"
"Apr 20, 2023","1,768.12","1,801.69","1,750.61","1,771.60","10,339,943,474.00","213,667,478,341.00"
"Apr 19, 2023","1,917.01","1,917.69","1,761.36","1,768.11","12,555,442,627.00","210,565,617,970.00"
"Apr 18, 2023","1,900.16","1,933.82","1,883.12","1,917.55","8,360,921,235.00","229,952,342,837.00"
"Apr 17, 2023","1,929.99","1,930.01","1,884.71","1,900.51","8,784,053,203.00","225,749,448,278.00"
"Apr 16, 2023","1,884.51","1,945.18","1,870.60","1,929.99","7,113,827,063.00","228,597,583,878.00"
"Apr 15, 2023","1,892.75","1,901.27","1,870.14","1,884.68","7,237,779,838.00","226,348,051,122.00"
"Apr 14, 2023","1,822.24","1,922.38","1,820.18","1,892.77","14,746,813,713.00","228,599,508,007.00"
"Apr 13, 2023","1,743.77","1,830.54","1,729.64","1,821.07","11,409,017,371.00","220,449,867,117.00"
"Apr 12, 2023","1,733.13","1,757.56","1,702.43","1,746.49","10,086,441,806.00","211,939,959,716.00"
"Apr 11, 2023","1,758.44","1,779.59","1,728.33","1,733.35","8,166,903,084.00","209,691,000,889.00"
"Apr 10, 2023","1,704.14","1,764.59","1,704.72","1,758.28","7,678,985,201.00","210,957,775,489.00"
"Apr 09, 2023","1,682.36","1,717.15","1,663.29","1,703.82","5,786,074,800.00","203,718,035,304.00"
"Apr 08, 2023","1,695.74","1,708.86","1,681.64","1,682.20","4,561,880,269.00","202,601,985,912.00"
"Apr 07, 2023","1,714.98","1,724.26","1,691.10","1,696.61","7,652,251,840.00","205,800,207,982.00"
"Apr 06, 2023","1,751.00","1,751.11","1,704.93","1,715.16","7,578,693,809.00","206,919,400,431.00"
"Apr 05, 2023","1,707.46","1,767.56","1,701.72","1,750.97","9,417,444,351.00","209,870,992,567.00"
"Apr 04, 2023","1,659.65","1,732.16","1,653.41","1,707.50","9,533,816,214.00","206,639,493,812.00"
"Apr 03, 2023","1,661.51","1,687.80","1,633.69","1,659.79","8,927,039,360.00","201,856,515,094.00"
