Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 12, 2023",72.28,72.20,70.75,72.05,"420,984,898.00","5,275,510,114.00"
"Jun 11, 2023",71.93,73.34,71.18,72.28,"401,772,965.00","5,283,625,851.00"
"Jun 10, 2023",83.02,83.05,70.02,71.93,"1,103,056,729.00","5,261,674,278.00"
"Jun 09, 2023",82.05,83.47,81.05,83.01,"360,688,877.00","6,050,485,127.00"
"Jun 08, 2023",82.99,83.53,81.50,82.05,"333,208,993.00","6,040,017,758.00"
"Jun 07, 2023",84.98,85.12,82.13,82.98,"502,639,323.00","6,070,266,513.00"
"Jun 06, 2023",82.00,85.39,80.62,84.98,"606,226,764.00","6,203,926,027.00"
"Jun 05, 2023",88.15,88.37,79.35,82.00,"838,164,469.00","6,000,862,878.00"
"Jun 04, 2023",89.60,89.94,88.13,88.15,"407,138,710.00","6,431,275,819.00"
"Jun 03, 2023",89.06,90.71,88.08,89.60,"446,061,232.00","6,546,828,565.00"
"Jun 02, 2023",87.35,88.74,86.60,89.06,"527,720,381.00","6,478,651,301.00"
"Jun 01, 2023",84.67,88.89,83.85,87.33,"899,249,293.00","6,419,711,454.00"
"May 31, 2023",86.03,86.28,82.85,84.67,"528,540,119.00","6,162,548,149.00"
"May 30, 2023",84.99,86.74,84.65,86.03,"425,719,761.00","6,298,174,855.00"
"May 29, 2023",85.42,85.92,84.37,84.99,"387,182,310.00","6,198,602,940.00"
"May 28, 2023",82.61,85.92,82.32,85.42,"418,081,307.00","6,231,672,172.00"
"May 27, 2023",81.31,82.73,81.13,82.61,"285,199,270.00","6,031,726,546.00"
"May 26, 2023",80.76,82.12,80.34,81.32,"483,298,163.00","5,941,372,592.00"
"May 25, 2023",79.94,80.76,77.75,80.76,"521,695,912.00","5,877,840,524.00"
"May 24, 2023",85.09,85.23,79.13,79.96,"716,308,426.00","5,828,901,917.00"
"May 23, 2023",84.13,86.03,83.90,85.09,"355,716,194.00","6,186,361,927.00"
"May 22, 2023",85.26,85.65,83.49,84.13,"366,451,503.00","6,132,769,819.00"
"May 21, 2023",85.40,86.25,84.56,85.27,"338,284,067.00","6,224,886,027.00"
"May 20, 2023",84.77,85.68,83.95,85.39,"283,357,750.00","6,229,885,654.00"
"May 19, 2023",84.02,86.13,83.93,84.77,"517,912,230.00","6,209,079,449.00"
"May 18, 2023",86.63,86.80,83.31,84.03,"541,527,960.00","6,094,472,533.00"
"May 17, 2023",82.71,87.50,82.68,86.63,"962,096,024.00","6,302,909,298.00"
"May 16, 2023",80.07,83.06,79.44,82.70,"744,173,919.00","6,027,182,246.00"
"May 15, 2023",76.89,81.29,76.08,80.07,"715,576,618.00","5,850,450,109.00"
"May 14, 2023",73.43,76.63,73.16,76.89,"366,164,084.00","5,563,237,075.00"
"May 13, 2023",73.59,74.02,73.26,73.42,"278,826,518.00","5,352,305,602.00"
"May 12, 2023",74.25,74.45,71.74,73.59,"482,787,351.00","5,378,428,025.00"
"May 11, 2023",73.82,74.44,72.28,74.27,"534,367,099.00","5,379,168,510.00"
"May 10, 2023",72.98,74.58,71.27,73.82,"531,675,098.00","5,389,382,253.00"
"May 09, 2023",70.82,73.02,70.59,72.98,"425,698,214.00","5,303,612,341.00"
"May 08, 2023",75.85,76.99,69.80,70.81,"652,454,917.00","5,150,685,862.00"
"May 07, 2023",74.60,76.85,74.34,75.85,"308,430,969.00","5,432,338,214.00"
"May 06, 2023",79.25,79.69,73.45,74.60,"545,092,591.00","5,435,670,794.00"
"May 05, 2023",80.28,81.23,79.31,79.24,"365,203,621.00","5,871,800,955.00"
"May 04, 2023",80.31,80.39,79.58,80.28,"281,199,439.00","5,824,309,385.00"
"May 03, 2023",80.19,81.09,77.68,80.31,"424,075,071.00","5,880,841,930.00"
"May 02, 2023",79.08,81.08,78.52,80.19,"371,051,447.00","5,863,100,560.00"
"May 01, 2023",80.39,80.69,78.03,79.08,"449,053,803.00","5,737,278,467.00"
"Apr 30, 2023",81.86,82.13,79.98,80.41,"327,382,249.00","5,793,824,380.00"
"Apr 29, 2023",80.63,82.19,80.44,81.86,"298,721,140.00","5,960,513,229.00"
"Apr 28, 2023",81.31,81.95,80.04,80.64,"397,240,893.00","5,922,099,719.00"
"Apr 27, 2023",79.91,81.95,79.48,81.30,"520,006,379.00","5,911,292,195.00"
"Apr 26, 2023",82.99,84.87,77.42,79.90,"727,562,369.00","5,851,891,271.00"
"Apr 25, 2023",79.95,83.54,79.06,82.99,"555,326,019.00","5,997,150,187.00"
"Apr 24, 2023",79.04,80.61,78.61,79.95,"469,621,011.00","5,853,538,588.00"
"Apr 23, 2023",78.49,78.52,76.53,79.06,"345,082,850.00","5,698,762,877.00"
"Apr 22, 2023",77.07,78.63,76.63,78.49,"342,481,277.00","5,711,408,046.00"
"Apr 21, 2023",82.28,82.64,76.51,77.07,"603,921,456.00","5,672,826,114.00"
"Apr 20, 2023",82.58,83.74,79.93,82.28,"682,761,898.00","5,994,281,588.00"
"Apr 19, 2023",92.80,92.81,81.71,82.58,"852,157,291.00","5,994,312,678.00"
"Apr 18, 2023",90.35,94.33,89.84,92.80,"651,030,082.00","6,781,142,491.00"
"Apr 17, 2023",91.27,91.33,89.31,90.32,"625,557,015.00","6,533,160,171.00"
"Apr 16, 2023",87.24,91.75,86.16,91.28,"692,496,457.00","6,567,376,445.00"
"Apr 15, 2023",86.87,87.59,85.72,87.25,"363,779,707.00","6,343,562,011.00"
"Apr 14, 2023",85.29,89.24,85.62,86.87,"775,263,865.00","6,345,122,487.00"
"Apr 13, 2023",83.78,85.55,83.60,85.29,"449,512,381.00","6,231,060,777.00"
"Apr 12, 2023",86.39,86.71,83.59,84.11,"459,710,798.00","6,159,999,764.00"
"Apr 11, 2023",86.32,88.93,85.90,86.39,"588,928,848.00","6,306,567,558.00"
"Apr 10, 2023",83.09,86.69,82.59,86.31,"481,527,640.00","6,248,182,953.00"
"Apr 09, 2023",81.84,83.39,81.31,83.09,"284,747,545.00","5,993,445,252.00"
"Apr 08, 2023",82.42,83.02,81.52,81.84,"292,712,637.00","5,945,529,751.00"
"Apr 07, 2023",83.27,83.73,82.05,82.43,"374,950,812.00","6,030,651,345.00"
"Apr 06, 2023",84.95,84.98,82.72,83.27,"368,000,620.00","6,058,624,369.00"
"Apr 05, 2023",84.51,86.67,84.03,84.95,"524,578,278.00","6,140,163,260.00"
"Apr 04, 2023",85.30,86.11,84.25,84.51,"417,234,874.00","6,166,692,122.00"
"Apr 03, 2023",86.09,87.53,83.08,85.30,"642,143,305.00","6,254,752,131.00"
"Apr 02, 2023",85.27,86.86,83.76,86.10,"505,592,238.00","6,215,546,107.00"
"Apr 01, 2023",82.53,86.36,82.40,85.46,"504,957,343.00","6,205,638,691.00"
"Mar 31, 2023",81.68,83.02,80.79,82.53,"414,732,848.00","5,971,410,866.00"
"Mar 30, 2023",84.24,85.85,80.13,81.67,"546,921,022.00","5,962,992,634.00"
"Mar 29, 2023",82.24,85.72,82.14,84.24,"499,676,272.00","6,117,180,648.00"
"Mar 28, 2023",82.58,82.50,79.53,82.24,"514,730,042.00","5,987,305,784.00"
"Mar 27, 2023",86.77,86.96,81.69,82.59,"512,300,185.00","6,009,855,034.00"
"Mar 26, 2023",84.98,87.82,84.43,86.78,"454,557,919.00","6,298,097,221.00"
"Mar 25, 2023",86.96,87.20,83.91,84.98,"458,334,813.00","6,166,543,458.00"
"Mar 24, 2023",86.48,88.37,83.34,86.96,"800,158,939.00","6,275,287,484.00"
"Mar 23, 2023",80.36,86.69,79.03,86.48,"970,419,406.00","6,254,293,783.00"
"Mar 22, 2023",76.78,81.17,74.08,80.37,"900,092,282.00","5,882,082,023.00"
"Mar 21, 2023",73.18,77.17,72.56,76.80,"529,816,254.00","5,595,731,474.00"
"Mar 20, 2023",79.04,79.07,73.12,73.17,"541,262,126.00","5,323,055,824.00"
"Mar 19, 2023",77.03,80.20,76.73,79.05,"412,523,297.00","5,680,680,398.00"
"Mar 18, 2023",79.54,81.62,76.86,77.01,"559,899,775.00","5,595,114,910.00"
"Mar 17, 2023",74.48,79.53,73.97,79.52,"574,919,759.00","5,840,109,840.00"
"Mar 16, 2023",72.26,75.29,71.96,74.48,"512,207,624.00","5,415,964,137.00"
"Mar 15, 2023",78.64,79.72,71.69,72.23,"751,127,664.00","5,164,936,530.00"
"Mar 14, 2023",76.26,82.14,74.56,78.64,"822,680,935.00","5,701,733,004.00"
"Mar 13, 2023",71.47,77.35,70.09,76.25,"952,137,175.00","5,548,101,736.00"
"Mar 12, 2023",65.48,71.55,64.08,71.44,"719,562,526.00","5,194,396,161.00"
"Mar 11, 2023",67.33,69.47,62.57,65.47,"1,011,542,195.00","4,739,888,453.00"
"Mar 10, 2023",72.49,72.50,65.30,67.34,"980,540,210.00","4,911,581,578.00"
"Mar 09, 2023",78.48,80.17,71.53,72.48,"652,651,736.00","5,269,502,601.00"
"Mar 08, 2023",81.82,82.04,77.87,78.47,"474,973,414.00","5,684,969,999.00"
"Mar 07, 2023",81.81,83.01,80.17,81.82,"526,653,623.00","5,849,374,456.00"
"Mar 06, 2023",84.65,85.07,81.96,81.81,"468,130,051.00","5,958,655,870.00"
"Mar 05, 2023",83.91,86.16,83.89,84.66,"314,400,515.00","6,121,532,109.00"
"Mar 04, 2023",85.09,85.27,82.75,83.91,"332,156,357.00","6,075,747,890.00"
"Mar 03, 2023",89.89,89.96,83.04,85.09,"615,168,640.00","6,185,913,048.00"
"Mar 02, 2023",91.61,91.94,89.06,89.88,"440,483,243.00","6,464,033,584.00"
"Mar 01, 2023",88.68,91.99,88.68,91.61,"504,615,379.00","6,689,400,010.00"
"Feb 28, 2023",88.68,90.35,88.11,88.68,"385,965,202.00","6,398,883,903.00"
"Feb 27, 2023",90.26,90.64,87.68,88.68,"409,373,348.00","6,452,353,320.00"
"Feb 26, 2023",88.20,90.49,87.89,90.26,"362,195,990.00","6,520,163,754.00"
"Feb 25, 2023",86.51,88.34,86.22,88.21,"391,276,390.00","6,375,795,731.00"
"Feb 24, 2023",89.35,89.69,86.09,86.50,"475,437,271.00","6,250,739,990.00"
"Feb 23, 2023",89.78,90.52,88.44,89.35,"461,922,419.00","6,459,317,537.00"
"Feb 22, 2023",87.99,89.56,86.65,89.78,"627,466,862.00","6,466,641,864.00"
"Feb 21, 2023",89.82,90.68,86.87,87.98,"649,006,147.00","6,345,079,581.00"
"Feb 20, 2023",91.35,92.21,88.80,89.81,"754,185,089.00","6,494,475,849.00"
"Feb 19, 2023",93.12,94.36,91.06,91.32,"514,123,067.00","6,583,701,614.00"
"Feb 18, 2023",93.60,94.82,92.59,93.12,"584,042,412.00","6,733,399,252.00"
"Feb 17, 2023",92.78,94.95,92.54,93.60,"680,026,305.00","6,799,953,061.00"
"Feb 16, 2023",96.14,97.83,92.74,92.78,"690,071,887.00","6,691,065,385.00"
"Feb 15, 2023",89.13,96.17,88.75,96.15,"676,008,109.00","6,921,780,052.00"
"Feb 14, 2023",84.92,89.21,84.36,89.13,"554,434,612.00","6,445,318,205.00"
"Feb 13, 2023",86.54,88.73,82.90,84.92,"638,452,205.00","6,167,857,311.00"
"Feb 12, 2023",88.34,88.44,85.75,86.53,"343,819,396.00","6,246,991,680.00"
"Feb 11, 2023",87.51,88.61,87.05,88.35,"384,301,002.00","6,383,933,064.00"
"Feb 10, 2023",85.75,88.11,85.62,87.50,"592,904,159.00","6,292,342,151.00"
"Feb 09, 2023",92.59,92.73,84.66,85.76,"779,834,647.00","6,209,353,973.00"
"Feb 08, 2023",94.05,95.10,90.82,92.58,"584,312,710.00","6,678,500,157.00"
"Feb 07, 2023",89.52,94.29,89.45,94.06,"674,015,723.00","6,794,552,224.00"
"Feb 06, 2023",89.41,91.20,88.42,89.53,"421,514,995.00","6,430,361,172.00"
"Feb 05, 2023",91.21,91.27,88.28,89.40,"432,613,422.00","6,443,051,741.00"
"Feb 04, 2023",92.51,93.55,91.18,91.21,"381,721,069.00","6,589,950,221.00"
"Feb 03, 2023",90.49,92.73,90.37,92.52,"533,337,270.00","6,619,178,797.00"
"Feb 02, 2023",91.20,92.46,90.27,90.50,"617,008,310.00","6,469,531,429.00"
"Feb 01, 2023",86.82,92.81,86.08,91.21,"921,141,376.00","6,676,073,232.00"
"Jan 31, 2023",84.11,88.52,84.11,86.83,"725,317,089.00","6,273,604,242.00"
"Jan 30, 2023",87.42,88.19,82.50,84.11,"705,934,708.00","6,058,394,382.00"
"Jan 29, 2023",82.41,89.69,82.41,87.43,"968,005,837.00","6,308,895,814.00"
"Jan 28, 2023",81.73,82.46,80.48,82.41,"371,285,040.00","5,947,204,847.00"
"Jan 27, 2023",80.41,81.97,79.30,81.72,"397,411,768.00","5,884,600,162.00"
"Jan 26, 2023",81.83,82.33,80.03,80.41,"453,542,865.00","5,786,144,578.00"
"Jan 25, 2023",80.09,83.95,78.95,81.84,"483,779,737.00","5,920,694,501.00"
"Jan 24, 2023",82.80,83.71,79.65,80.08,"467,981,777.00","5,785,610,823.00"
"Jan 23, 2023",80.66,85.12,80.66,82.81,"620,689,626.00","5,976,184,240.00"
"Jan 22, 2023",81.19,82.64,80.03,80.66,"483,502,103.00","5,809,567,012.00"
"Jan 21, 2023",83.20,83.97,81.19,81.19,"623,406,596.00","5,854,778,555.00"
"Jan 20, 2023",77.75,83.41,76.80,83.20,"570,580,954.00","6,022,525,391.00"
"Jan 19, 2023",76.65,77.91,75.95,77.75,"434,230,326.00","5,623,769,583.00"
"Jan 18, 2023",80.75,81.79,76.65,76.66,"690,794,500.00","5,530,267,922.00"
"Jan 17, 2023",79.26,82.00,78.56,80.74,"636,323,124.00","5,797,145,611.00"
"Jan 16, 2023",80.72,81.71,78.64,79.25,"594,507,020.00","5,715,775,115.00"
"Jan 15, 2023",80.98,81.57,79.31,80.72,"530,513,033.00","5,805,962,076.00"
"Jan 14, 2023",79.60,83.56,79.45,80.98,"1,139,254,284.00","5,833,560,607.00"
"Jan 13, 2023",79.16,80.75,77.69,79.60,"668,658,174.00","5,727,968,580.00"
"Jan 12, 2023",78.09,79.28,76.66,79.16,"853,875,597.00","5,752,387,079.00"
"Jan 11, 2023",75.32,78.40,74.73,78.09,"606,810,768.00","5,639,316,912.00"
"Jan 10, 2023",76.15,76.98,74.55,75.32,"522,800,940.00","5,428,259,991.00"
"Jan 09, 2023",72.85,77.52,72.85,76.17,"824,846,476.00","5,521,240,306.00"
