Date,Open,High,Low,Close,Volume
"Monday, June 12, 2023",100.61,100.61,100.61,100.61,--
"Friday, June 9, 2023",100.56,100.56,100.56,100.56,--
"Thursday, June 8, 2023",100.83,100.83,100.83,100.83,--
"Wednesday, June 7, 2023",100.55,100.55,100.55,100.55,--
"Tuesday, June 6, 2023",100.86,100.86,100.86,100.86,--
"Monday, June 5, 2023",100.9,100.9,100.9,100.9,--
"Friday, June 2, 2023",100.71,100.71,100.71,100.71,--
"Thursday, June 1, 2023",101.08,101.08,101.08,101.08,--
"Wednesday, May 31, 2023",100.92,100.92,100.92,100.92,--
"Tuesday, May 30, 2023",100.83,100.83,100.83,100.83,--
"Monday, May 29, 2023",100.46,100.46,100.46,100.46,--
"Friday, May 26, 2023",100.42,100.42,100.42,100.42,--
"Thursday, May 25, 2023",100.4,100.4,100.4,100.4,--
"Wednesday, May 24, 2023",101.03,101.03,101.03,101.03,--
"Tuesday, May 23, 2023",101.33,101.33,101.33,101.33,--
"Monday, May 22, 2023",101.1,101.1,101.1,101.1,--
"Friday, May 19, 2023",101.16,101.16,101.16,101.16,--
"Thursday, May 18, 2023",101.36,101.36,101.36,101.36,--
"Wednesday, May 17, 2023",101.74,101.74,101.74,101.74,--
"Tuesday, May 16, 2023",101.82,101.82,101.82,101.82,--
"Monday, May 15, 2023",102.04,102.04,102.04,102.04,--
"Friday, May 12, 2023",102.04,102.04,102.04,102.04,--
"Thursday, May 11, 2023",102.42,102.42,102.42,102.42,--
"Wednesday, May 10, 2023",102.37,102.37,102.37,102.37,--
"Tuesday, May 9, 2023",102.2,102.2,102.2,102.2,--
"Monday, May 8, 2023",102.31,102.31,102.31,102.31,--
"Friday, May 5, 2023",102.47,102.47,102.47,102.47,--
"Thursday, May 4, 2023",102.68,102.68,102.68,102.68,--
"Wednesday, May 3, 2023",102.7,102.7,102.7,102.7,--
"Tuesday, May 2, 2023",102.3,102.3,102.3,102.3,--
"Monday, May 1, 2023",101.77,101.77,101.77,101.77,--
"Friday, April 28, 2023",102.25,102.25,102.25,102.25,--
"Thursday, April 27, 2023",102.1,102.1,102.1,102.1,--
"Wednesday, April 26, 2023",102.51,102.51,102.51,102.51,--
"Tuesday, April 25, 2023",102.69,102.69,102.69,102.69,--
"Monday, April 24, 2023",102.23,102.23,102.23,102.23,--
"Friday, April 21, 2023",101.84,101.84,101.84,101.84,--
"Thursday, April 20, 2023",101.89,101.89,101.89,101.89,--
"Wednesday, April 19, 2023",101.66,101.66,101.66,101.66,--
"Tuesday, April 18, 2023",101.75,101.75,101.75,101.75,--
"Monday, April 17, 2023",101.71,101.71,101.71,101.71,--
"Friday, April 14, 2023",102,102,102,102,--
"Thursday, April 13, 2023",102.26,102.26,102.26,102.26,--
"Wednesday, April 12, 2023",102.43,102.43,102.43,102.43,--
"Tuesday, April 11, 2023",102.45,102.45,102.45,102.45,--
"Monday, April 10, 2023",102.42,102.42,102.42,102.42,--
"Thursday, April 6, 2023",102.89,102.89,102.89,102.89,--
"Wednesday, April 5, 2023",102.83,102.83,102.83,102.83,--
"Tuesday, April 4, 2023",102.75,102.75,102.75,102.75,--
"Monday, April 3, 2023",102.53,102.53,102.53,102.53,--
"Friday, March 31, 2023",102.23,102.23,102.23,102.23,--
"Thursday, March 30, 2023",101.86,101.86,101.86,101.86,--
"Wednesday, March 29, 2023",101.83,101.83,101.83,101.83,--
"Tuesday, March 28, 2023",101.69,101.69,101.69,101.69,--
"Monday, March 27, 2023",101.6,101.6,101.6,101.6,--
"Friday, March 24, 2023",102.07,102.07,102.07,102.07,--
"Thursday, March 23, 2023",102.26,102.26,102.26,102.26,--
"Wednesday, March 22, 2023",101.96,101.96,101.96,101.96,--
"Tuesday, March 21, 2023",100.92,100.92,100.92,100.92,--
"Monday, March 20, 2023",101.13,101.13,101.13,101.13,--
"Friday, March 17, 2023",101.03,101.03,101.03,101.03,--
"Thursday, March 16, 2023",100.81,100.81,100.81,100.81,--
"Wednesday, March 15, 2023",101.75,101.75,101.75,101.75,--
"Tuesday, March 14, 2023",100.82,100.82,100.82,100.82,--
"Monday, March 13, 2023",101.02,101.02,101.02,101.02,--
"Friday, March 10, 2023",100.19,100.19,100.19,100.19,--
"Thursday, March 9, 2023",99.29,99.29,99.29,99.29,--
"Wednesday, March 8, 2023",99.06,99.06,99.06,99.06,--
"Tuesday, March 7, 2023",99.43,99.43,99.43,99.43,--
"Monday, March 6, 2023",100.11,100.11,100.11,100.11,--
"Friday, March 3, 2023",100.25,100.25,100.25,100.25,--
"Thursday, March 2, 2023",99.66,99.66,99.66,99.66,--
"Wednesday, March 1, 2023",99.55,99.55,99.55,99.55,--
"Tuesday, February 28, 2023",99.74,99.74,99.74,99.74,--
"Monday, February 27, 2023",99.52,99.52,99.52,99.52,--
"Friday, February 24, 2023",99.37,99.37,99.37,99.37,--
"Thursday, February 23, 2023",99.89,99.89,99.89,99.89,--
"Wednesday, February 22, 2023",99.71,99.71,99.71,99.71,--
"Tuesday, February 21, 2023",99.79,99.79,99.79,99.79,--
"Monday, February 20, 2023",100.1,100.1,100.1,100.1,--
"Friday, February 17, 2023",100.12,100.12,100.12,100.12,--
"Thursday, February 16, 2023",100.02,100.02,100.02,100.02,--
"Wednesday, February 15, 2023",100.19,100.19,100.19,100.19,--
"Tuesday, February 14, 2023",100.12,100.12,100.12,100.12,--
"Monday, February 13, 2023",100.42,100.42,100.42,100.42,--
"Friday, February 10, 2023",100.42,100.42,100.42,100.42,--
"Thursday, February 9, 2023",100.6,100.6,100.6,100.6,--
"Wednesday, February 8, 2023",100.98,100.98,100.98,100.98,--
"Tuesday, February 7, 2023",100.59,100.59,100.59,100.59,--
"Monday, February 6, 2023",100.35,100.35,100.35,100.35,--
"Friday, February 3, 2023",100.82,100.82,100.82,100.82,--
"Thursday, February 2, 2023",101.54,101.54,101.54,101.54,--
"Wednesday, February 1, 2023",101.65,101.65,101.65,101.65,--
"Tuesday, January 31, 2023",101.13,101.13,101.13,101.13,--
"Monday, January 30, 2023",101.03,101.03,101.03,101.03,--
"Friday, January 27, 2023",101.37,101.37,101.37,101.37,--
"Thursday, January 26, 2023",101.49,101.49,101.49,101.49,--
"Wednesday, January 25, 2023",101.51,101.51,101.51,101.51,--
"Tuesday, January 24, 2023",101.38,101.38,101.38,101.38,--
"Monday, January 23, 2023",101.11,101.11,101.11,101.11,--
"Friday, January 20, 2023",101.16,101.16,101.16,101.16,--
"Thursday, January 19, 2023",101.44,101.44,101.44,101.44,--
"Wednesday, January 18, 2023",101.1,101.1,101.1,101.1,--
"Tuesday, January 17, 2023",100.67,100.67,100.67,100.67,--
"Monday, January 16, 2023",100.86,100.86,100.86,100.86,--
"Friday, January 13, 2023",100.85,100.85,100.85,100.85,--
"Thursday, January 12, 2023",101.23,101.23,101.23,101.23,--
"Wednesday, January 11, 2023",100.73,100.73,100.73,100.73,--
"Tuesday, January 10, 2023",100.44,100.44,100.44,100.44,--
"Monday, January 9, 2023",100.69,100.69,100.69,100.69,--
"Friday, January 6, 2023",100.53,100.53,100.53,100.53,--
"Thursday, January 5, 2023",99.88,99.88,99.88,99.88,--
"Wednesday, January 4, 2023",99.98,99.98,99.98,99.98,--
"Tuesday, January 3, 2023",99.95,99.95,99.95,99.95,--
"Friday, December 30, 2022",99.85,99.85,99.85,99.85,--
"Thursday, December 29, 2022",100.01,100.01,100.01,100.01,--
"Wednesday, December 28, 2022",99.88,99.88,99.88,99.88,--
"Friday, December 23, 2022",100.14,100.14,100.14,100.14,--
"Thursday, December 22, 2022",100.26,100.26,100.26,100.26,--
"Wednesday, December 21, 2022",100.65,100.65,100.65,100.65,--
"Tuesday, December 20, 2022",100.35,100.35,100.35,100.35,--
"Monday, December 19, 2022",100.35,100.35,100.35,100.35,--
"Friday, December 16, 2022",100.55,100.55,100.55,100.55,--
"Thursday, December 15, 2022",100.86,100.86,100.86,100.86,--
"Wednesday, December 14, 2022",100.94,100.94,100.94,100.94,--
"Tuesday, December 13, 2022",101.04,101.04,101.04,101.04,--
"Monday, December 12, 2022",100.7,100.7,100.7,100.7,--
"Friday, December 09, 2022",100.68,100.68,100.68,100.68,--
"Thursday, December 08, 2022",101.16,101.16,101.16,101.16,--
"Wednesday, December 07, 2022",101.38,101.38,101.38,101.38,--
"Tuesday, December 6, 2022",101.14,101.14,101.14,101.14,--
"Monday, December 5, 2022",101.22,101.22,101.22,101.22,--
"Friday, December 2, 2022",102.02,102.02,102.02,102.02,--
"Thursday, December 1, 2022",101.61,101.61,101.61,101.61,--
"Wednesday, November 30, 2022",100.96,100.96,100.96,100.96,--
"Tuesday, November 29, 2022",99.89,99.89,99.89,99.89,--
"Monday, November 28, 2022",100.08,100.08,100.08,100.08,--
"Friday, November 25, 2022",100.37,100.37,100.37,100.37,--
"Thursday, November 24, 2022",100.28,100.28,100.28,100.28,--
"Wednesday, November 23, 2022",100.27,100.27,100.27,100.27,--
"Tuesday, November 22, 2022",100.05,100.05,100.05,100.05,--
"Monday, November 21, 2022",99.83,99.83,99.83,99.83,--
"Friday, November 18, 2022",99.5,99.5,99.5,99.5,--
"Thursday, November 17, 2022",99.88,99.88,99.88,99.88,--
"Wednesday, November 16, 2022",100.43,100.43,100.43,100.43,--
"Tuesday, November 15, 2022",100.32,100.32,100.32,100.32,--
"Monday, November 14, 2022",100,100,100,100,--
"Friday, November 11, 2022",100.39,100.39,100.39,100.39,--
"Thursday, November 10, 2022",100.39,100.39,100.39,100.39,--
"Wednesday, November 9, 2022",99.35,99.35,99.35,99.35,--
"Tuesday, November 8, 2022",99.48,99.48,99.48,99.48,--
"Monday, November 7, 2022",99.36,99.36,99.36,99.36,--
"Friday, November 4, 2022",99.31,99.31,99.31,99.31,--
"Thursday, November 3, 2022",98.97,98.97,98.97,98.97,--
"Wednesday, November 2, 2022",99.81,99.81,99.81,99.81,--
"Tuesday, November 1, 2022",99.98,99.98,99.98,99.98,--
"Monday, October 31, 2022",100.01,100.01,100.01,100.01,--
"Friday, October 28, 2022",100.18,100.18,100.18,100.18,--
"Thursday, October 27, 2022",100.36,100.36,100.36,100.36,--
"Wednesday, October 26, 2022",99.87,99.87,99.87,99.87,--
"Tuesday, October 25, 2022",99.92,99.92,99.92,99.92,--
"Monday, October 24, 2022",99.73,99.73,99.73,99.73,--
"Friday, October 21, 2022",99.63,99.63,99.63,99.63,--
"Thursday, October 20, 2022",99.11,99.11,99.11,99.11,--
"Wednesday, October 19, 2022",99.28,99.28,99.28,99.28,--
"Tuesday, October 18, 2022",99.69,99.69,99.69,99.69,--
"Monday, October 17, 2022",99.84,99.84,99.84,99.84,--
"Friday, October 14, 2022",99.55,99.55,99.55,99.55,--
"Thursday, October 13, 2022",99.57,99.57,99.57,99.57,--
"Wednesday, October 12, 2022",99.69,99.69,99.69,99.69,--
"Tuesday, October 11, 2022",99.68,99.68,99.68,99.68,--
"Monday, October 10, 2022",99.7,99.7,99.7,99.7,--
"Friday, October 7, 2022",99.7,99.7,99.7,99.7,--
"Thursday, October 6, 2022",99.69,99.69,99.69,99.69,--
"Wednesday, October 5, 2022",99.91,99.91,99.91,99.91,--
"Tuesday, October 4, 2022",100.52,100.52,100.52,100.52,--
"Monday, October 3, 2022",100.13,100.13,100.13,100.13,--
"Friday, September 30, 2022",99.13,99.13,99.13,99.13,--
"Thursday, September 29, 2022",99.5,99.5,99.5,99.5,--
"Wednesday, September 28, 2022",100.7,100.7,100.7,100.7,--
"Tuesday, September 27, 2022",99.21,99.21,99.21,99.21,--
"Monday, September 26, 2022",99.42,99.42,99.42,99.42,--
"Friday, September 23, 2022",100.77,100.77,100.77,100.77,--
"Thursday, September 22, 2022",101.25,101.25,101.25,101.25,--
"Wednesday, September 21, 2022",102.16,102.16,102.16,102.16,--
"Tuesday, September 20, 2022",102.19,102.19,102.19,102.19,--
"Friday, September 16, 2022",102.76,102.76,102.76,102.76,--
"Thursday, September 15, 2022",103.02,103.02,103.02,103.02,--
"Wednesday, September 14, 2022",103.49,103.49,103.49,103.49,--
"Tuesday, September 13, 2022",103.4,103.4,103.4,103.4,--
"Monday, September 12, 2022",103.66,103.66,103.66,103.66,--
"Friday, September 9, 2022",103.77,103.77,103.77,103.77,--
"Thursday, September 8, 2022",103.7,103.7,103.7,103.7,--
"Wednesday, September 7, 2022",104.2,104.2,104.2,104.2,--
"Tuesday, September 6, 2022",104,104,104,104,--
"Monday, September 5, 2022",104.65,104.65,104.65,104.65,--
"Friday, September 2, 2022",104.65,104.65,104.65,104.65,--
"Thursday, September 1, 2022",104.14,104.14,104.14,104.14,--
"Wednesday, August 31, 2022",104.78,104.78,104.78,104.78,--
"Tuesday, August 30, 2022",105.55,105.55,105.55,105.55,--
"Monday, August 29, 2022",105.77,105.77,105.77,105.77,--
"Friday, August 26, 2022",106.12,106.12,106.12,106.12,--
"Thursday, August 25, 2022",106.41,106.41,106.41,106.41,--
"Wednesday, August 24, 2022",106.21,106.21,106.21,106.21,--
"Tuesday, August 23, 2022",106.12,106.12,106.12,106.12,--
"Monday, August 22, 2022",105.96,105.96,105.96,105.96,--
"Friday, August 19, 2022",106.02,106.02,106.02,106.02,--
"Thursday, August 18, 2022",106.28,106.28,106.28,106.28,--
"Wednesday, August 17, 2022",105.95,105.95,105.95,105.95,--
"Tuesday, August 16, 2022",106.21,106.21,106.21,106.21,--
"Monday, August 15, 2022",106.34,106.34,106.34,106.34,--
"Friday, August 12, 2022",106.22,106.22,106.22,106.22,--
"Thursday, August 11, 2022",106,106,106,106,--
"Wednesday, August 10, 2022",106.12,106.12,106.12,106.12,--
"Tuesday, August 9, 2022",106.18,106.18,106.18,106.18,--
"Monday, August 8, 2022",106.37,106.37,106.37,106.37,--
"Friday, August 5, 2022",105.84,105.84,105.84,105.84,--
"Thursday, August 4, 2022",106.84,106.84,106.84,106.84,--
"Wednesday, August 3, 2022",106.78,106.78,106.78,106.78,--
"Tuesday, August 2, 2022",106.49,106.49,106.49,106.49,--
"Monday, August 1, 2022",107.55,107.55,107.55,107.55,--
"Friday, July 29, 2022",107.51,107.51,107.51,107.51,--
"Thursday, July 28, 2022",107.03,107.03,107.03,107.03,--
"Wednesday, July 27, 2022",106.12,106.12,106.12,106.12,--
"Tuesday, July 26, 2022",105.52,105.52,105.52,105.52,--
"Monday, July 25, 2022",105.53,105.53,105.53,105.53,--
"Friday, July 22, 2022",105.51,105.51,105.51,105.51,--
"Thursday, July 21, 2022",104.86,104.86,104.86,104.86,--
"Wednesday, July 20, 2022",104.46,104.46,104.46,104.46,--
"Tuesday, July 19, 2022",104.57,104.57,104.57,104.57,--
"Monday, July 18, 2022",104.65,104.65,104.65,104.65,--
"Friday, July 15, 2022",104.5,104.5,104.5,104.5,--
"Thursday, July 14, 2022",104.11,104.11,104.11,104.11,--
"Wednesday, July 13, 2022",104.31,104.31,104.31,104.31,--
"Tuesday, July 12, 2022",104.11,104.11,104.11,104.11,--
"Monday, July 11, 2022",104.24,104.24,104.24,104.24,--
"Friday, July 8, 2022",103.99,103.99,103.99,103.99,--
"Thursday, July 7, 2022",104.04,104.04,104.04,104.04,--
"Wednesday, July 6, 2022",104.17,104.17,104.17,104.17,--
"Tuesday, July 5, 2022",104.92,104.92,104.92,104.92,--
"Monday, July 4, 2022",104.97,104.97,104.97,104.97,--
"Friday, July 1, 2022",104.85,104.85,104.85,104.85,--
"Thursday, June 30, 2022",103.92,103.92,103.92,103.92,--
"Wednesday, June 29, 2022",103.85,103.85,103.85,103.85,--
"Tuesday, June 28, 2022",103.99,103.99,103.99,103.99,--
"Monday, June 27, 2022",104.31,104.31,104.31,104.31,--
"Friday, June 24, 2022",104.71,104.71,104.71,104.71,--
"Thursday, June 23, 2022",104.59,104.59,104.59,104.59,--
"Wednesday, June 22, 2022",104.36,104.36,104.36,104.36,--
"Tuesday, June 21, 2022",104.05,104.05,104.05,104.05,--
"Monday, June 20, 2022",104.18,104.18,104.18,104.18,--
"Friday, June 17, 2022",104.09,104.09,104.09,104.09,--
"Thursday, June 16, 2022",104.37,104.37,104.37,104.37,--
"Wednesday, June 15, 2022",104.56,104.56,104.56,104.56,--
"Tuesday, June 14, 2022",103.31,103.31,103.31,103.31,--
"Monday, June 13, 2022",104.72,104.72,104.72,104.72,--
"Friday, June 10, 2022",106,106,106,106,--
"Thursday, June 09, 2022",106.48,106.48,106.48,106.48,--
"Wednesday, June 08, 2022",106.49,106.49,106.49,106.49,--
"Tuesday, June 07, 2022",106.6,106.6,106.6,106.6,--
"Monday, June 06, 2022",106.43,106.43,106.43,106.43,--
"Friday, June 03, 2022",106.81,106.81,106.81,106.81,--
"Thursday, June 02, 2022",106.52,106.52,106.52,106.52,--
"Wednesday, June 01, 2022",106.32,106.32,106.32,106.32,--
"Tuesday, May 31, 2022",106.81,106.81,106.81,106.81,--
"Monday, May 30, 2022",107.25,107.25,107.25,107.25,--
"Friday, May 27, 2022",107.12,107.12,107.12,107.12,--
"Thursday, May 26, 2022",107.01,107.01,107.01,107.01,--
"Wednesday, May 25, 2022",106.63,106.63,106.63,106.63,--
"Tuesday, May 24, 2022",106.45,106.45,106.45,106.45,--
"Monday, May 23, 2022",106.04,106.04,106.04,106.04,--
"Friday, May 20, 2022",106.13,106.13,106.13,106.13,--
"Thursday, May 19, 2022",106.22,106.22,106.22,106.22,--
"Wednesday, May 18, 2022",106.38,106.38,106.38,106.38,--
"Tuesday, May 17, 2022",106,106,106,106,--
"Monday, May 16, 2022",106.36,106.36,106.36,106.36,--
"Friday, May 13, 2022",106.02,106.02,106.02,106.02,--
"Thursday, May 12, 2022",105.74,105.74,105.74,105.74,--
"Wednesday, May 11, 2022",105.9,105.9,105.9,105.9,--
"Tuesday, May 10, 2022",105.26,105.26,105.26,105.26,--
"Monday, May 09, 2022",105.71,105.71,105.71,105.71,--
"Friday, May 06, 2022",105.87,105.87,105.87,105.87,--
"Thursday, May 05, 2022",106.06,106.06,106.06,106.06,--
"Wednesday, May 04, 2022",106.76,106.76,106.76,106.76,--
"Tuesday, May 03, 2022",106.11,106.11,106.11,106.11,--
"Monday, May 02, 2022",105.99,105.99,105.99,105.99,--
"Friday, April 29, 2022",106.99,106.99,106.99,106.99,--
"Thursday, April 28, 2022",107.64,107.64,107.64,107.64,--
"Wednesday, April 27, 2022",107.31,107.31,107.31,107.31,--
"Tuesday, April 26, 2022",107.4,107.4,107.4,107.4,--
"Monday, April 25, 2022",107.12,107.12,107.12,107.12,--
"Friday, April 22, 2022",107.1,107.1,107.1,107.1,--
"Thursday, April 21, 2022",107.28,107.28,107.28,107.28,--
"Wednesday, April 20, 2022",107.01,107.01,107.01,107.01,--
"Tuesday, April 19, 2022",106.52,106.52,106.52,106.52,--
"Monday, April 18, 2022",107.01,107.01,107.01,107.01,--
"Thursday, April 14, 2022",106.82,106.82,106.82,106.82,--
"Wednesday, April 13, 2022",107.03,107.03,107.03,107.03,--
"Tuesday, April 12, 2022",107.14,107.14,107.14,107.14,--
"Monday, April 11, 2022",107.02,107.02,107.02,107.02,--
"Friday, April 08, 2022",106.88,106.88,106.88,106.88,--
"Thursday, April 07, 2022",106.81,106.81,106.81,106.81,--
"Wednesday, April 06, 2022",106.79,106.79,106.79,106.79,--
