Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 12, 2023",128.49,130.86,126.49,130.27,"72,280,307.00","2,385,461,918.00"
"Jun 11, 2023",128.16,129.27,126.20,128.52,"36,553,506.00","2,349,971,436.00"
"Jun 10, 2023",133.11,133.77,118.96,128.16,"85,979,789.00","2,345,003,854.00"
"Jun 09, 2023",132.32,133.22,130.79,133.08,"48,727,720.00","2,426,571,591.00"
"Jun 08, 2023",135.55,135.89,132.12,132.31,"52,922,392.00","2,436,871,460.00"
"Jun 07, 2023",137.65,138.55,134.20,135.55,"55,009,981.00","2,481,066,027.00"
"Jun 06, 2023",131.95,137.90,129.67,137.66,"67,047,085.00","2,514,725,005.00"
"Jun 05, 2023",138.55,138.91,128.49,131.95,"65,025,891.00","2,416,468,651.00"
"Jun 04, 2023",138.53,139.94,138.46,138.56,"46,110,190.00","2,530,028,302.00"
"Jun 03, 2023",136.34,138.69,136.04,138.53,"44,254,364.00","2,533,338,557.00"
"Jun 02, 2023",136.16,137.11,134.72,136.32,"60,720,298.00","2,482,079,152.00"
"Jun 01, 2023",136.61,138.13,135.76,136.17,"66,663,818.00","2,505,665,686.00"
"May 31, 2023",142.58,143.55,135.64,136.60,"62,733,574.00","2,488,917,068.00"
"May 30, 2023",143.78,144.43,142.16,142.58,"59,310,491.00","2,613,182,100.00"
"May 29, 2023",144.95,146.09,142.85,143.78,"72,736,000.00","2,625,385,463.00"
"May 28, 2023",141.03,145.83,140.85,144.96,"59,716,534.00","2,648,062,608.00"
"May 27, 2023",140.37,141.18,140.21,141.04,"30,246,864.00","2,578,775,670.00"
"May 26, 2023",140.96,141.52,140.17,140.37,"42,931,499.00","2,568,328,054.00"
"May 25, 2023",139.54,141.25,138.89,140.99,"64,064,189.00","2,570,068,386.00"
"May 24, 2023",140.75,140.98,137.85,139.53,"48,200,129.00","2,547,649,137.00"
"May 23, 2023",140.12,141.56,140.26,140.75,"50,867,827.00","2,563,413,288.00"
"May 22, 2023",138.75,141.24,138.05,140.11,"46,602,250.00","2,558,715,974.00"
"May 21, 2023",138.99,139.40,138.10,138.75,"31,228,036.00","2,537,846,708.00"
"May 20, 2023",139.03,140.18,138.50,138.99,"34,785,535.00","2,540,702,614.00"
"May 19, 2023",140.16,140.99,138.76,139.02,"40,786,391.00","2,551,655,336.00"
"May 18, 2023",139.72,141.08,138.56,140.16,"47,353,859.00","2,547,387,405.00"
"May 17, 2023",139.52,140.53,139.29,139.71,"40,609,465.00","2,547,454,680.00"
"May 16, 2023",139.96,140.62,138.73,139.52,"41,199,981.00","2,548,514,081.00"
"May 15, 2023",141.86,142.25,139.94,139.94,"37,727,410.00","2,562,844,763.00"
"May 14, 2023",139.88,140.94,139.57,141.86,"30,858,368.00","2,573,097,327.00"
"May 13, 2023",140.61,140.63,139.48,139.89,"29,041,525.00","2,556,377,439.00"
"May 12, 2023",139.88,140.63,138.57,140.63,"50,329,859.00","2,576,851,504.00"
"May 11, 2023",139.99,141.41,138.60,139.89,"52,246,999.00","2,540,432,814.00"
"May 10, 2023",141.41,142.37,137.80,139.96,"50,860,265.00","2,562,290,879.00"
"May 09, 2023",139.66,141.49,139.06,141.40,"42,775,714.00","2,576,818,707.00"
"May 08, 2023",142.53,143.07,136.56,139.66,"55,242,548.00","2,547,465,472.00"
"May 07, 2023",139.72,141.60,139.30,142.57,"39,119,636.00","2,560,855,281.00"
"May 06, 2023",141.17,141.79,137.79,139.72,"48,293,010.00","2,553,391,373.00"
"May 05, 2023",141.01,143.78,140.48,141.16,"56,115,369.00","2,623,627,306.00"
"May 04, 2023",140.16,141.78,140.38,140.98,"47,398,906.00","2,565,770,606.00"
"May 03, 2023",138.71,140.20,137.13,140.15,"59,525,627.00","2,574,587,669.00"
"May 02, 2023",139.15,140.96,138.90,138.70,"44,051,712.00","2,544,350,563.00"
"May 01, 2023",141.98,141.98,137.80,139.13,"56,036,333.00","2,532,565,519.00"
"Apr 30, 2023",139.03,142.63,138.33,142.09,"47,158,507.00","2,569,212,178.00"
"Apr 29, 2023",137.80,140.34,137.16,139.04,"36,008,646.00","2,540,680,579.00"
"Apr 28, 2023",139.48,141.06,138.36,137.80,"54,075,334.00","2,539,620,599.00"
"Apr 27, 2023",142.06,143.79,139.46,139.46,"61,552,935.00","2,544,978,419.00"
"Apr 26, 2023",145.56,146.39,138.15,142.04,"76,166,907.00","2,611,080,115.00"
"Apr 25, 2023",142.53,145.65,140.03,145.56,"83,238,592.00","2,640,279,968.00"
"Apr 24, 2023",143.18,144.72,142.28,142.53,"75,577,796.00","2,619,657,696.00"
"Apr 23, 2023",141.94,143.48,140.47,143.16,"73,892,770.00","2,590,907,714.00"
"Apr 22, 2023",136.31,141.98,135.55,141.94,"59,927,613.00","2,593,081,498.00"
"Apr 21, 2023",140.09,141.89,136.03,136.32,"76,019,591.00","2,519,564,532.00"
"Apr 20, 2023",139.79,142.46,137.93,140.10,"71,023,780.00","2,563,167,117.00"
"Apr 19, 2023",148.32,148.37,139.09,139.84,"87,985,526.00","2,549,237,358.00"
"Apr 18, 2023",146.06,149.46,145.00,148.32,"65,254,549.00","2,721,952,688.00"
"Apr 17, 2023",148.96,149.15,146.01,146.06,"73,272,621.00","2,653,461,348.00"
"Apr 16, 2023",146.36,149.32,145.01,148.95,"51,841,773.00","2,691,947,564.00"
"Apr 15, 2023",146.02,147.46,145.42,146.37,"68,972,496.00","2,673,447,434.00"
"Apr 14, 2023",146.67,148.64,145.02,146.01,"78,013,586.00","2,679,391,598.00"
"Apr 13, 2023",147.49,149.03,146.95,146.67,"69,414,233.00","2,692,186,685.00"
"Apr 12, 2023",148.55,148.64,145.92,147.69,"85,367,710.00","2,717,586,403.00"
"Apr 11, 2023",146.48,149.07,146.20,148.55,"90,364,406.00","2,724,846,793.00"
"Apr 10, 2023",146.90,147.43,143.27,146.48,"101,050,213.00","2,664,686,946.00"
"Apr 09, 2023",143.97,147.01,143.60,146.92,"55,529,735.00","2,663,339,670.00"
"Apr 08, 2023",142.56,144.62,142.55,143.97,"61,587,997.00","2,628,902,242.00"
"Apr 07, 2023",143.25,144.65,142.19,142.58,"60,529,958.00","2,622,132,784.00"
"Apr 06, 2023",144.96,145.59,142.94,143.25,"59,691,773.00","2,620,073,530.00"
"Apr 05, 2023",144.84,146.22,143.30,144.95,"63,119,264.00","2,633,869,636.00"
"Apr 04, 2023",143.53,146.05,143.13,144.84,"65,622,100.00","2,657,249,264.00"
"Apr 03, 2023",148.31,148.90,142.87,143.53,"77,039,573.00","2,646,247,112.00"
"Apr 02, 2023",144.45,148.78,143.92,148.32,"66,378,541.00","2,692,244,201.00"
"Apr 01, 2023",145.10,145.76,141.84,145.50,"47,006,150.00","2,656,843,928.00"
"Mar 31, 2023",142.40,145.77,141.85,145.12,"70,493,858.00","2,640,847,880.00"
"Mar 30, 2023",146.58,150.64,141.73,142.39,"93,476,515.00","2,614,729,944.00"
"Mar 29, 2023",142.05,147.49,141.81,146.58,"87,803,255.00","2,677,194,332.00"
"Mar 28, 2023",140.76,143.89,138.57,142.02,"73,602,250.00","2,600,974,609.00"
"Mar 27, 2023",149.91,153.05,140.29,140.85,"102,650,503.00","2,578,523,017.00"
"Mar 26, 2023",148.53,153.80,147.53,149.91,"66,376,133.00","2,737,288,173.00"
"Mar 25, 2023",150.35,152.91,148.53,148.53,"76,557,209.00","2,711,770,318.00"
"Mar 24, 2023",144.59,150.66,144.32,150.33,"115,106,763.00","2,729,837,330.00"
"Mar 23, 2023",137.14,144.72,136.86,144.59,"111,798,663.00","2,631,382,605.00"
"Mar 22, 2023",142.28,143.39,134.51,137.15,"122,703,670.00","2,525,979,390.00"
"Mar 21, 2023",141.49,145.59,138.93,142.17,"100,735,378.00","2,608,630,627.00"
"Mar 20, 2023",143.91,146.30,139.90,141.42,"79,221,458.00","2,590,759,322.00"
"Mar 19, 2023",138.66,147.44,138.46,143.90,"76,973,232.00","2,603,673,064.00"
"Mar 18, 2023",143.17,143.65,136.84,138.62,"72,265,855.00","2,535,928,174.00"
"Mar 17, 2023",140.67,143.72,140.66,143.14,"82,424,936.00","2,647,000,184.00"
"Mar 16, 2023",138.58,141.06,136.95,140.69,"63,590,213.00","2,575,770,141.00"
"Mar 15, 2023",139.96,141.80,135.37,138.50,"84,214,663.00","2,493,883,842.00"
"Mar 14, 2023",142.50,147.09,137.53,139.94,"115,163,344.00","2,555,069,956.00"
"Mar 13, 2023",141.28,145.05,136.94,142.50,"99,876,173.00","2,610,942,127.00"
"Mar 12, 2023",132.67,141.38,131.98,141.28,"89,371,944.00","2,587,003,475.00"
"Mar 11, 2023",126.97,134.63,125.30,132.65,"91,600,484.00","2,418,799,500.00"
"Mar 10, 2023",134.68,134.68,124.25,126.97,"84,060,836.00","2,332,741,494.00"
"Mar 09, 2023",136.14,143.98,133.11,134.68,"82,701,964.00","2,466,612,814.00"
"Mar 08, 2023",142.50,143.74,136.17,136.17,"73,607,193.00","2,485,286,248.00"
