Date,Gold $,Silver $,Platinum $,Palladium $
2023-06-12,1952.9,24.21,993,1330
2023-06-09,1960.3,24.315,1001,1324
2023-06-08,1966.4,23.67,1020,1381
2023-06-07,1967.35,23.585,1035,1411
2023-06-06,1957.25,23.645,1028,1407
2023-06-05,1959.65,23.475,1017,1410
2023-06-02,1963.25,23.885,1007,1419
2023-06-01,1974.35,23.49,1004,1372
2023-05-31,1964.4,-,1003,1390
2023-05-30,1952.45,23.255,1027,1417
2023-05-26,1947.9,23.145,1025,1442
2023-05-25,1948.25,23.005,1023,1414
2023-05-24,1969.65,23.415,1042,1425
2023-05-23,1969.2,23.16,1066,1460
2023-05-22,1970.3,23.85,1074,1513
2023-05-19,1961.6,23.66,1071,1518
2023-05-18,1960.3,23.52,1067,1464
2023-05-17,1974.4,23.685,1075,1490
2023-05-16,2007.45,23.785,1070,1521
2023-05-15,-,23.89,1061,1534
2023-05-12,2019.9,23.855,1081,1546
2023-05-11,2015.95,24.885,1119,1607
2023-05-10,2037.15,25.52,1123,1620
2023-05-09,2030.2,25.565,1085,1570
2023-05-05,2000.95,25.84,1044,1455
2023-05-04,2044.7,25.625,1053,1426
2023-05-03,2014.3,25.25,1060,1441
2023-05-02,1995.4,24.77,1049,1453
2023-04-28,1982.55,24.765,1074,1497
2023-04-27,1985.65,25.145,1085,1496
2023-04-26,2003,24.85,1093,1509
2023-04-25,1987.4,24.895,1080,1494
2023-04-24,1978.2,25.03,1091,1545
2023-04-21,1973.65,25.155,1128,1628
2023-04-20,2007.15,25.4,1094,1618
2023-04-19,1990.55,24.75,1075,1609
2023-04-18,1999.4,25.09,1073,1628
2023-04-17,1995.55,25.39,1055,1520
2023-04-14,2019.4,26.025,1043,1484
2023-04-13,2048.45,25.62,1036,1482
2023-04-12,2008.2,25.145,1020,1452
2023-04-11,2002.7,25.055,1001,1432
2023-04-06,2001.9,24.935,999,1445
2023-04-05,2030.85,24.74,1016,1467
2023-04-04,2009.6,24.015,1011,-
2023-04-03,1983.3,23.925,990,1482
2023-03-31,1979.7,23.885,981,1490
2023-03-30,1965.8,23.71,977,1495
2023-03-29,1965,23.255,962,1431
2023-03-28,1962.85,23.045,966,1416
2023-03-27,1946.25,22.89,-,1406
2023-03-24,1993.8,23.17,976,1418
2023-03-23,1977.95,22.9,989,1435
2023-03-22,1949.35,22.345,985,1428
2023-03-21,1952.5,22.465,983,1406
2023-03-20,1969.35,22.495,985,1398
2023-03-17,1962.1,21.885,979,1389
2023-03-16,1922.75,22.01,964,-
2023-03-15,1923.4,22.095,965,1437
