Date,Oil,Gold $,Silver $,Platinum $,Palladium $,Euro_USD,TIPS,VIX,Inflation_index,BTC,BTC Volume,BNB,LTC,XMR,ETH,SP500
2010-01-04,,1121.5,17.17,1500.0,421.0,,,,,,,,,,,
2010-01-05,,1123.25,17.57,1518.0,421.0,,,,,,,,,,,
2010-01-06,,1130.0,17.89,1556.0,422.0,,,,,,,,,,,
2010-01-07,,1130.25,18.09,1548.0,426.0,,,,,,,,,,,
2010-01-08,,1126.75,18.12,1569.0,431.0,,,,,,,,,,,
2010-01-09,,,,,,,,,,,,,,,,
2010-01-10,,,,,,,,,,,,,,,,
2010-01-11,,1153.0,18.84,1593.0,429.0,,,,,,,,,,,
2010-01-12,,1151.25,18.41,1576.0,432.0,,,,,,,,,,,
2010-01-13,,1127.25,18.35,1577.0,423.0,,,,,,,,,,,
2010-01-14,,1138.25,18.58,1600.0,438.0,,,,,,,,,,,
2010-01-15,,1128.0,18.52,1600.0,449.0,,,,,,,,,,,
2010-01-16,,,,,,,,,,,,,,,,
2010-01-17,,,,,,,,,,,,,,,,
2010-01-18,,1134.5,18.66,1615.0,454.0,,,,,,,,,,,
2010-01-19,,1133.0,18.5,1621.0,456.0,,,,,,,,,,,
2010-01-20,,1120.25,18.48,1627.0,457.0,,,,,,,,,,,
2010-01-21,,1108.25,17.68,1612.0,462.0,,,,,,,,,,,
2010-01-22,,1084.0,17.28,1540.0,432.0,,,,,,,,,,,
2010-01-23,,,,,,,,,,,,,,,,
2010-01-24,,,,,,,,,,,,,,,,
2010-01-25,,1095.25,17.16,1543.0,436.0,,,,,,,,,,,
2010-01-26,,1093.25,16.79,1512.0,428.0,,,,,,,,,,,
2010-01-27,,1094.75,16.74,1519.0,420.0,,,,,,,,,,,
2010-01-28,,1088.0,16.62,1517.0,426.0,,,,,,,,,,,
2010-01-29,,1078.5,16.29,1512.0,419.0,,,,,,,,,,,
2010-01-30,,,,,,,,,,,,,,,,
2010-01-31,,,,,,,,,,,,,,,,
2010-02-01,,1086.5,16.23,1520.0,424.0,,,,,,,,,,,
2010-02-02,,1111.0,16.78,1555.0,439.0,,,,,,,,,,,
2010-02-03,,1115.25,16.79,1578.0,442.0,,,,,,,,,,,
2010-02-04,,1083.25,16.13,1549.0,431.0,,,,,,,,,,,
2010-02-05,,1058.0,15.17,1475.0,395.0,,,,,,,,,,,
2010-02-06,,,,,,,,,,,,,,,,
2010-02-07,,,,,,,,,,,,,,,,
2010-02-08,,1064.0,15.14,1477.0,405.0,,,,,,,,,,,
2010-02-09,,1071.25,15.2,1496.0,415.0,,,,,,,,,,,
2010-02-10,,1069.5,15.6,1511.0,416.0,,,,,,,,,,,
2010-02-11,,1076.25,15.37,1511.0,418.0,,,,,,,,,,,
2010-02-12,,1082.0,15.33,1505.0,416.0,,,,,,,,,,,
2010-02-13,,,,,,,,,,,,,,,,
2010-02-14,,,,,,,,,,,,,,,,
2010-02-15,,1098.25,15.57,1513.0,418.0,,,,,,,,,,,
2010-02-16,,1115.25,15.82,1534.0,431.0,,,,,,,,,,,
2010-02-17,,1119.0,16.21,1542.0,440.0,,,,,,,,,,,
2010-02-18,,1118.0,15.83,1524.0,434.0,,,,,,,,,,,
2010-02-19,,1112.75,15.95,1513.0,435.0,,,,,,,,,,,
2010-02-20,,,,,,,,,,,,,,,,
2010-02-21,,,,,,,,,,,,,,,,
2010-02-22,,1115.25,16.44,1535.0,441.0,,,,,,,,,,,
2010-02-23,,1107.0,16.1,1518.0,438.0,,,,,,,,,,,
2010-02-24,,1103.0,15.76,1504.0,427.0,,,,,,,,,,,
2010-02-25,,1094.5,15.92,1514.0,420.0,,,,,,,,,,,
2010-02-26,,1108.25,16.12,1533.0,430.0,,,,,,,,,,,
2010-02-27,,,,,,,,,,,,,,,,
2010-02-28,,,,,,,,,,,,,,,,
2010-03-01,,1114.0,16.5,1548.0,437.0,,,,,,,,,,,
2010-03-02,,1126.5,16.57,1562.0,439.5,,,,,,,,,,,
2010-03-03,,1136.5,17.17,1580.0,444.0,,,,,,,,,,,
2010-03-04,,1134.5,17.34,1579.0,456.0,,,,,,,,,,,
2010-03-05,,1135.0,17.25,1578.0,466.0,,,,,,,,,,,
2010-03-06,,,,,,,,,,,,,,,,
2010-03-07,,,,,,,,,,,,,,,,
2010-03-08,,1125.75,17.33,1603.0,475.0,,,,,,,,,,,
2010-03-09,,1115.75,17.05,1574.0,459.0,,,,,,,,,,,
2010-03-10,,1120.5,17.47,1605.0,471.0,,,,,,,,,,,
2010-03-11,,1104.0,16.91,1580.0,447.0,,,,,,,,,,,
2010-03-12,,1106.25,17.31,1619.0,464.0,,,,,,,,,,,
2010-03-13,,,,,,,,,,,,,,,,
2010-03-14,,,,,,,,,,,,,,,,
2010-03-15,,1104.25,17.02,1616.0,463.0,,,,,,,,,,,
2010-03-16,,1124.75,17.24,1624.0,467.0,,,,,,,,,,,
2010-03-17,,1121.75,17.54,1636.0,476.0,,,,,,,,,,,
2010-03-18,,1122.75,17.49,1633.0,477.0,,,,,,,,,,,
2010-03-19,,1105.5,17.31,1617.0,476.0,,,,,,,,,,,
2010-03-20,,,,,,,,,,,,,,,,
2010-03-21,,,,,,,,,,,,,,,,
2010-03-22,,1097.25,16.78,1582.0,454.0,,,,,,,,,,,
2010-03-23,,1101.5,16.78,1598.0,458.0,,,,,,,,,,,
2010-03-24,,1090.75,16.68,1586.0,456.0,,,,,,,,,,,
2010-03-25,,1093.0,16.79,1593.0,448.0,,,,,,,,,,,
2010-03-26,,1096.5,16.85,1596.0,456.0,,,,,,,,,,,
2010-03-27,,,,,,,,,,,,,,,,
2010-03-28,,,,,,,,,,,,,,,,
2010-03-29,,1107.5,17.15,1611.0,473.0,,,,,,,,,,,
2010-03-30,,1107.0,17.41,1622.0,472.0,,,,,,,,,,,
2010-03-31,,1115.5,17.5,1645.0,479.0,,,,,,,,,,,
2010-04-01,,1123.5,17.69,1660.0,491.0,,,,,,,,,,,
2010-04-02,,,,,,,,,,,,,,,,
2010-04-03,,,,,,,,,,,,,,,,
2010-04-04,,,,,,,,,,,,,,,,
2010-04-05,,,,,,,,,,,,,,,,
2010-04-06,,1132.75,17.92,1700.0,504.0,,,,,,,,,,,
2010-04-07,,1142.0,17.97,1710.0,508.0,,,,,,,,,,,
2010-04-08,,1148.0,17.98,1707.0,503.0,,,,,,,,,,,
2010-04-09,,1152.5,18.34,1718.0,511.0,,,,,,,,,,,
2010-04-10,,,,,,,,,,,,,,,,
2010-04-11,,,,,,,,,,,,,,,,
2010-04-12,,1158.75,18.49,1728.0,515.0,,,,,,,,,,,
2010-04-13,,1148.25,18.16,1714.0,518.0,,,,,,,,,,,
2010-04-14,,1153.75,18.39,1728.0,545.0,,,,,,,,,,,
2010-04-15,,1154.5,18.27,1718.0,542.0,,,,,,,,,,,
2010-04-16,,1151.5,18.35,1708.0,532.0,,,,,,,,,,,
2010-04-17,,,,,,,,,,,,,,,,
2010-04-18,,,,,,,,,,,,,,,,
2010-04-19,,1136.25,17.5,1683.0,523.0,,,,,,,,,,,
2010-04-20,,1144.75,18.0,1714.0,543.0,,,,,,,,,,,
2010-04-21,,1143.0,17.82,1730.0,559.0,,,,,,,,,,,
2010-04-22,,1133.75,17.98,1731.0,558.0,,,,,,,,,,,
2010-04-23,,1139.5,17.89,1725.0,555.0,,,,,,,,,,,
2010-04-24,,,,,,,,,,,,,,,,
2010-04-25,,,,,,,,,,,,,,,,
2010-04-26,,1154.5,18.35,1752.0,571.0,,,,,,,,,,,
2010-04-27,,1149.5,18.16,1722.0,550.0,,,,,,,,,,,
2010-04-28,,1161.0,17.96,1714.0,543.0,,,,,,,,,,,
2010-04-29,,1166.75,18.15,1711.0,542.0,,,,,,,,,,,
2010-04-30,,1179.25,18.62,1738.0,552.0,,,,,,,,,,,
2010-05-01,,,,,,,,,,,,,,,,
2010-05-02,,,,,,,,,,,,,,,,
2010-05-03,,,,,,,,,,,,,,,,
2010-05-04,,1185.0,18.71,1712.0,529.0,,,,,,,,,,,
2010-05-05,,1165.0,17.63,1636.0,493.0,,,,,,,,,,,
2010-05-06,,1185.25,17.69,1662.0,507.0,,,,,,,,,,,
2010-05-07,,1202.25,17.7,1651.0,505.0,,,,,,,,,,,
2010-05-08,,,,,,,,,,,,,,,,
2010-05-09,,,,,,,,,,,,,,,,
2010-05-10,,1196.5,18.46,1694.0,528.0,,,,,,,,,,,
2010-05-11,,1222.5,18.42,1689.0,521.0,,,,,,,,,,,
2010-05-12,,1237.5,19.59,1703.0,537.0,,,,,,,,,,,
2010-05-13,,1237.5,19.43,1728.0,543.0,,,,,,,,,,,
2010-05-14,,1236.5,19.64,1721.0,536.0,,,,,,,,,,,
2010-05-15,,,,,,,,,,,,,,,,
2010-05-16,,,,,,,,,,,,,,,,
2010-05-17,,1236.0,19.11,1692.0,515.0,,,,,,,,,,,
2010-05-18,,1216.75,18.82,1681.0,507.0,,,,,,,,,,,
2010-05-19,,1195.0,18.53,1612.0,472.0,,,,,,,,,,,
2010-05-20,,1192.0,17.93,1515.0,420.0,,,,,,,,,,,
2010-05-21,,1179.75,17.72,1492.0,419.0,,,,,,,,,,,
2010-05-22,,,,,,,,,,,,,,,,
2010-05-23,,,,,,,,,,,,,,,,
2010-05-24,,1187.0,17.78,1525.0,450.0,,,,,,,,,,,
2010-05-25,,1198.25,17.63,1493.0,428.0,,,,,,,,,,,
2010-05-26,,1212.0,18.27,1533.0,447.0,,,,,,,,,,,
2010-05-27,,1211.0,18.36,1535.0,455.0,,,,,,,,,,,
2010-05-28,,1207.5,18.53,1555.0,471.0,,,,,,,,,,,
2010-05-29,,,,,,,,,,,,,,,,
2010-05-30,,,,,,,,,,,,,,,,
2010-05-31,,,,,,,,,,,,,,,,
2010-06-01,,1227.75,18.3,1550.0,457.0,1.2155,,35.540001,1.83,,,,,,,1070.71
2010-06-02,,1215.0,18.43,1542.0,450.0,1.2218,,30.17,1.85,,,,,,,1098.38
2010-06-03,,1215.0,18.27,1565.0,462.0,1.2268,,29.459999,1.84,,,,,,,1102.83
2010-06-04,,1203.5,17.76,1527.0,440.0,1.206,,35.48,1.77,,,,,,,1064.88
2010-06-05,,,,,,,,,,,,,,,,
2010-06-06,,,,,,,,,,,,,,,,
2010-06-07,,1215.0,17.36,1500.0,423.0,1.1959,,36.57,1.76,,,,,,,1050.47
2010-06-08,,1246.0,18.34,1516.0,428.0,1.1942,,33.700001,1.77,,,,,,,1062.0
2010-06-09,,1233.5,18.27,1537.0,453.0,1.201,,33.73,1.78,,,,,,,1055.69
2010-06-10,,1217.5,17.98,1530.0,450.0,1.2045,,30.57,1.86,,,,,,,1086.84
2010-06-11,,1220.0,18.31,1539.0,449.0,1.2127,,28.790001,1.79,,,,,,,1091.6
2010-06-12,,,,,,,,,,,,,,,,
2010-06-13,,,,,,,,,,,,,,,,
2010-06-14,75.11,1223.75,18.43,1556.0,457.0,1.2249,,28.58,1.82,,,,,,,1089.63
2010-06-15,75.29,1225.0,18.42,1558.0,460.0,1.2258,,25.870001,1.83,,,,,,,1115.23
2010-06-16,76.12,1234.5,18.51,1568.0,471.0,1.2277,,25.92,1.79,,,,,,,1114.61
2010-06-17,77.52,1245.0,18.5,1577.0,482.0,1.2363,,25.049999,1.73,,,,,,,1116.04
2010-06-18,77.05,1256.0,18.77,1578.0,484.0,1.2372,,23.950001,1.76,,,,,,,1117.51
2010-06-19,,,,,,,,,,,,,,,,
2010-06-20,,,,,,,,,,,,,,,,
2010-06-21,78.53,1254.5,19.37,1605.0,502.0,1.2391,,24.879999,1.75,,,,,,,1113.2
2010-06-22,78.08,1236.0,18.625,1585.0,487.0,1.2258,,27.049999,1.72,,,,,,,1095.31
2010-06-23,75.22,1226.5,18.91,1575.0,485.0,1.2271,,26.91,1.71,,,,,,,1092.04
2010-06-24,75.17,1236.25,18.38,1549.0,466.0,1.2262,,29.74,1.76,,,,,,,1073.69
2010-06-25,76.21,1254.0,18.65,1556.0,471.0,1.2294,,28.530001,1.74,,,,,,,1076.76
2010-06-26,,,,,,,,,,,,,,,,
2010-06-27,,,,,,,,,,,,,,,,
2010-06-28,76.66,1261.0,19.11,1581.0,481.0,1.2339,,29.0,1.72,,,,,,,1074.57
2010-06-29,74.21,1234.5,18.57,1545.0,463.0,1.2198,,34.130001,1.70,,,,,,,1041.24
2010-06-30,74.94,1244.0,18.74,1532.0,446.0,1.2271,,34.540001,1.71,,,,,,,1030.71
2010-07-01,71.73,1234.0,18.65,1514.0,433.5,1.2328,,32.860001,1.76,,,,,,,1027.37
2010-07-02,71.75,1201.5,17.98,1508.0,433.0,1.2548,,30.120001,1.81,,,,,,,1022.58
2010-07-03,,,,,,,,,,,,,,,,
2010-07-04,,,,,,,,,,,,,,,,
2010-07-05,72.41499999999999,1208.0,17.85,1506.0,429.0,1.2531,,29.885000499999997,.,,,,,,,
2010-07-06,73.08,1195.0,17.85,1509.0,432.0,1.2579,,29.65,1.80,,,,,,,1028.06
2010-07-07,72.97,1193.25,17.65,1512.0,439.0,1.2567,,26.84,1.85,,,,,,,1060.27
2010-07-08,74.56,1193.5,18.0,1528.0,447.0,1.266,,25.709999,1.82,,,,,,,1070.25
2010-07-09,75.2,1208.75,17.87,1527.0,454.0,1.2637,,24.98,1.83,,,,,,,1077.96
2010-07-10,,,,,,,,,,,,,,,,
2010-07-11,,,,,,,,,,,,,,,,
2010-07-12,74.35,1205.5,18.06,1526.0,456.0,1.2572,,24.43,1.84,,,,,,,1078.75
2010-07-13,76.45,1216.0,18.0,1534.0,463.0,1.2569,,24.559999,1.87,0.05,59.0,,,,,1095.34
2010-07-14,76.63,1207.0,18.29,1523.0,465.0,1.2703,,24.889999,1.83,0.05,242.0,,,,,1095.17
2010-07-15,75.52,1208.0,18.42,1530.0,470.0,1.2828,,25.139999,1.82,0.05,413.0,,,,,1096.48
2010-07-16,75.55,1189.25,18.25,1512.0,456.0,1.3,,26.25,1.88,0.06,461.0,,,,,1064.88
2010-07-17,,,,,,,,,,0.06,19.0,,,,,
2010-07-18,,,,,,,,,,0.07,70.0,,,,,
2010-07-19,76.29,1181.0,17.78,1499.0,447.0,1.2957,,25.969999,1.95,0.07,531.0,,,,,1071.25
2010-07-20,76.31,1183.0,17.55,1502.0,438.0,1.2844,,23.93,1.95,0.07,243.0,,,,,1083.48
2010-07-21,75.75,1191.5,17.88,1524.0,453.0,1.2817,,25.639999,1.86,0.07,531.0,,,,,1069.59
2010-07-22,77.59,1199.5,17.82,1519.0,456.5,1.285,,24.629999,1.87,0.05,2009.0,,,,,1093.67
2010-07-23,77.27,1190.5,18.17,1541.0,460.0,1.2897,,23.469999,1.93,0.06,2223.0,,,,,1102.66
2010-07-24,,,,,,,,,,0.06,461.0,,,,,
2010-07-25,,,,,,,,,,0.06,1441.0,,,,,
2010-07-26,77.9,1183.5,18.01,1546.0,477.0,1.2931,,22.73,1.92,0.06,812.0,,,,,1115.01
2010-07-27,75.52,1168.0,18.16,1560.0,478.0,1.3033,,23.190001,1.94,0.06,3125.0,,,,,1113.84
2010-07-28,76.66,1157.0,17.63,1535.0,469.0,1.2992,,24.25,1.91,0.06,4066.0,,,,,1106.13
2010-07-29,78.6,1162.5,17.6,1553.0,488.0,1.3069,,24.129999,1.92,0.06,7501.0,,,,,1101.53
2010-07-30,77.5,1169.0,17.66,1555.0,487.0,1.3028,,23.5,1.85,0.06,2793.0,,,,,1101.6
2010-07-31,,,,,,,,,,0.06,3739.0,,,,,
2010-08-01,,,,,,,,,,0.06,2406.0,,,,,
2010-08-02,81.93,1188.5,18.11,1587.0,501.0,1.3073,,22.01,1.88,0.06,3333.0,,,,,1125.86
2010-08-03,83.6,1187.5,18.42,1590.0,514.0,1.3221,,22.629999,1.85,0.06,9136.0,,,,,1120.46
2010-08-04,83.76,1199.5,18.5,1590.0,504.0,1.3206,,22.209999,1.88,0.06,3248.0,,,,,1127.24
2010-08-05,82.9,1192.5,18.35,1577.0,497.0,1.3184,,22.1,1.86,0.06,4650.0,,,,,1125.81
2010-08-06,81.28,1207.75,18.3,1571.0,491.0,1.3176,,21.74,1.85,0.06,1295.0,,,,,1121.64
2010-08-07,,,,,,,,,,0.06,2433.0,,,,,
2010-08-08,,,,,,,,,,0.06,2040.0,,,,,
2010-08-09,81.54,1203.0,18.48,1558.0,485.0,1.3253,,22.139999,1.85,0.06,12625.0,,,,,1127.79
2010-08-10,79.89,1192.5,18.09,1539.0,479.0,1.3133,,22.370001,1.78,0.06,1209.0,,,,,1121.06
2010-08-11,77.83,1205.5,18.12,1540.0,475.0,1.3016,,25.389999,1.80,0.06,13066.0,,,,,1089.47
2010-08-12,76.63,1213.0,17.92,1524.0,469.0,1.279,,25.73,1.86,0.06,1905.0,,,,,1083.61
2010-08-13,75.14,1214.25,18.06,1527.0,473.0,1.2799,,26.24,1.80,0.06,3339.0,,,,,1079.25
2010-08-14,,,,,,,,,,0.06,4083.0,,,,,
2010-08-15,,,,,,,,,,0.07,4136.0,,,,,
2010-08-16,74.56,1223.5,18.2,1534.0,482.0,1.282,,26.1,1.74,0.09,9898.0,,,,,1079.38
2010-08-17,76.74,1226.0,18.54,1541.0,494.0,1.286,,24.33,1.78,0.06,12243.0,,,,,1092.54
2010-08-18,75.1,1218.0,18.36,1537.0,490.0,1.288,,24.59,1.78,0.06,2741.0,,,,,1094.16
2010-08-19,74.84,1233.5,18.45,1540.0,494.0,1.2836,,26.440001,1.77,0.06,683.0,,,,,1075.63
2010-08-20,73.48,1223.5,18.14,1512.0,478.0,1.2711,,25.49,1.77,0.06,3867.0,,,,,1071.69
2010-08-21,,,,,,,,,,0.06,9679.0,,,,,
2010-08-22,,,,,,,,,,0.06,17367.0,,,,,
2010-08-23,73.08,1226.0,17.94,1510.0,480.0,1.2704,,25.66,1.69,0.06,3991.0,,,,,1067.36
2010-08-24,70.61,1222.0,17.88,1494.0,476.0,1.2611,,27.459999,1.68,0.06,6209.0,,,,,1051.87
2010-08-25,70.74,1237.5,18.63,1516.0,490.5,1.2613,,26.700001,1.65,0.06,3934.0,,,,,1055.33
2010-08-26,74.5,1237.0,19.11,1531.0,502.0,1.2693,,27.370001,1.59,0.06,3588.0,,,,,1047.22
2010-08-27,75.16,1235.0,19.03,1530.0,503.0,1.2713,,24.450001,1.67,0.06,8328.0,,,,,1064.59
2010-08-28,,,,,,,,,,0.06,5685.0,,,,,
2010-08-29,,,,,,,,,,0.06,2931.0,,,,,
2010-08-30,76.05,,,,,1.27,,27.209999,1.62,0.06,31628.0,,,,,1048.92
2010-08-31,75.51,1246.0,18.87,1515.0,494.0,1.268,,26.049999,1.60,0.06,13787.0,,,,,1049.33
2010-09-01,75.53,1246.5,19.47,1531.0,519.5,1.28,,23.889999,1.65,0.06,6659.0,,,,,1080.29
