Month,Bitcoin: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,6
2010-12,3
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,3
2011-07,0
2011-08,0
2011-09,3
2011-10,2
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,2
2012-10,0
2012-11,1
2012-12,0
2013-01,0
2013-02,1
2013-03,1
2013-04,7
2013-05,0
2013-06,2
2013-07,1
2013-08,3
2013-09,0
2013-10,3
2013-11,13
2013-12,18
2014-01,14
2014-02,27
2014-03,21
2014-04,7
2014-05,5
2014-06,5
2014-07,4
2014-08,4
2014-09,4
2014-10,5
2014-11,3
2014-12,3
2015-01,6
2015-02,2
2015-03,4
2015-04,1
2015-05,5
2015-06,5
2015-07,6
2015-08,2
2015-09,5
2015-10,3
2015-11,4
2015-12,3
2016-01,4
2016-02,2
2016-03,4
2016-04,3
2016-05,6
2016-06,6
2016-07,5
2016-08,3
2016-09,3
2016-10,4
2016-11,5
2016-12,0
2017-01,6
2017-02,6
2017-03,10
2017-04,5
2017-05,14
2017-06,14
2017-07,16
2017-08,18
2017-09,33
2017-10,27
2017-11,54
2017-12,100
2018-01,78
2018-02,61
2018-03,45
2018-04,30
2018-05,23
2018-06,23
2018-07,24
2018-08,27
2018-09,18
2018-10,21
2018-11,30
2018-12,19
2019-01,18
2019-02,13
2019-03,14
2019-04,20
2019-05,29
2019-06,30
2019-07,25
2019-08,20
2019-09,21
2019-10,21
2019-11,15
2019-12,13
2020-01,18
2020-02,17
2020-03,17
2020-04,17
2020-05,25
2020-06,14
2020-07,15
2020-08,17
2020-09,22
2020-10,22
2020-11,30
2020-12,43
2021-01,74
2021-02,82
2021-03,59
2021-04,57
2021-05,70
2021-06,67
2021-07,43
2021-08,37
2021-09,44
2021-10,51
2021-11,47
2021-12,40
2022-01,51
2022-02,42
2022-03,30
2022-04,30
2022-05,39
2022-06,42
2022-07,26
2022-08,20
2022-09,15
2022-10,18
2022-11,27
2022-12,15
2023-01,18
2023-02,21
2023-03,21
2023-04,23
2023-05,17
2023-06,19
