Month,ripple: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,19
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,32
2011-07,0
2011-08,0
2011-09,0
2011-10,11
2011-11,0
2011-12,44
2012-01,6
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,12
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,10
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,7
2014-03,0
2014-04,7
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,4
2015-02,5
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,3
2015-11,0
2015-12,4
2016-01,3
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,5
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,9
2017-08,7
2017-09,15
2017-10,5
2017-11,16
2017-12,64
2018-01,100
2018-02,60
2018-03,37
2018-04,39
2018-05,13
2018-06,25
2018-07,19
2018-08,22
2018-09,34
2018-10,30
2018-11,32
2018-12,18
2019-01,9
2019-02,14
2019-03,20
2019-04,44
2019-05,22
2019-06,0
2019-07,19
2019-08,0
2019-09,27
2019-10,9
2019-11,10
2019-12,9
2020-01,24
2020-02,10
2020-03,8
2020-04,5
2020-05,6
2020-06,5
2020-07,11
2020-08,16
2020-09,23
2020-10,0
2020-11,16
2020-12,31
2021-01,29
2021-02,44
2021-03,33
2021-04,44
2021-05,13
2021-06,0
2021-07,0
2021-08,33
2021-09,16
2021-10,19
2021-11,0
2021-12,9
2022-01,8
2022-02,0
2022-03,27
2022-04,7
2022-05,5
2022-06,0
2022-07,11
2022-08,16
2022-09,0
2022-10,13
2022-11,0
2022-12,11
2023-01,0
2023-02,18
2023-03,10
2023-04,6
2023-05,13
2023-06,0
