Month,blockchain: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,64
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,19
2011-09,0
2011-10,23
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,10
2012-05,42
2012-06,23
2012-07,18
2012-08,14
2012-09,0
2012-10,0
2012-11,0
2012-12,10
2013-01,0
2013-02,17
2013-03,0
2013-04,0
2013-05,0
2013-06,8
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,7
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,7
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,12
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,15
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,7
2016-04,4
2016-05,0
2016-06,9
2016-07,6
2016-08,10
2016-09,5
2016-10,5
2016-11,0
2016-12,0
2017-01,0
2017-02,7
2017-03,10
2017-04,10
2017-05,0
2017-06,6
2017-07,0
2017-08,15
2017-09,29
2017-10,8
2017-11,25
2017-12,40
2018-01,30
2018-02,33
2018-03,43
2018-04,69
2018-05,35
2018-06,51
2018-07,32
2018-08,30
2018-09,25
2018-10,12
2018-11,57
2018-12,29
2019-01,27
2019-02,39
2019-03,28
2019-04,27
2019-05,24
2019-06,53
2019-07,27
2019-08,10
2019-09,24
2019-10,24
2019-11,35
2019-12,0
2020-01,20
2020-02,18
2020-03,0
2020-04,32
2020-05,26
2020-06,23
2020-07,14
2020-08,19
2020-09,11
2020-10,0
2020-11,49
2020-12,14
2021-01,100
2021-02,56
2021-03,36
2021-04,14
2021-05,31
2021-06,24
2021-07,19
2021-08,32
2021-09,0
2021-10,37
2021-11,26
2021-12,14
2022-01,0
2022-02,22
2022-03,27
2022-04,0
2022-05,25
2022-06,26
2022-07,11
2022-08,22
2022-09,20
2022-10,24
2022-11,19
2022-12,24
2023-01,19
2023-02,10
2023-03,0
2023-04,24
2023-05,20
2023-06,0
