Month,ethereum: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,25
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,27
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,16
2012-08,0
2012-09,0
2012-10,0
2012-11,13
2012-12,8
2013-01,0
2013-02,15
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,6
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,11
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,10
2016-02,0
2016-03,12
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,7
2016-10,0
2016-11,7
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,21
2017-06,17
2017-07,16
2017-08,0
2017-09,10
2017-10,8
2017-11,6
2017-12,6
2018-01,36
2018-02,16
2018-03,8
2018-04,0
2018-05,0
2018-06,6
2018-07,18
2018-08,7
2018-09,0
2018-10,10
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,10
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,17
2020-03,0
2020-04,0
2020-05,16
2020-06,11
2020-07,0
2020-08,9
2020-09,20
2020-10,0
2020-11,15
2020-12,25
2021-01,53
2021-02,25
2021-03,38
2021-04,26
2021-05,100
2021-06,39
2021-07,0
2021-08,47
2021-09,17
2021-10,23
2021-11,39
2021-12,31
2022-01,56
2022-02,19
2022-03,8
2022-04,16
2022-05,32
2022-06,23
2022-07,21
2022-08,37
2022-09,21
2022-10,9
2022-11,25
2022-12,19
2023-01,18
2023-02,8
2023-03,14
2023-04,9
2023-05,8
2023-06,0
