Month,BTC: (Worldwide)
2010-06,0
2010-07,0
2010-08,100
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,78
2011-03,0
2011-04,0
2011-05,0
2011-06,34
2011-07,31
2011-08,0
2011-09,85
2011-10,0
2011-11,0
2011-12,0
2012-01,32
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,31
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,18
2014-11,15
2014-12,16
2015-01,0
2015-02,0
2015-03,0
2015-04,40
2015-05,16
2015-06,16
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,38
2016-01,0
2016-02,0
2016-03,0
2016-04,10
2016-05,11
2016-06,34
2016-07,18
2016-08,18
2016-09,23
2016-10,0
2016-11,0
2016-12,9
2017-01,13
2017-02,11
2017-03,0
2017-04,0
2017-05,14
2017-06,0
2017-07,16
2017-08,0
2017-09,20
2017-10,0
2017-11,0
2017-12,0
2018-01,35
2018-02,0
2018-03,0
2018-04,20
2018-05,0
2018-06,30
2018-07,0
2018-08,0
2018-09,0
2018-10,30
2018-11,0
2018-12,0
2019-01,25
2019-02,23
2019-03,0
2019-04,0
2019-05,92
2019-06,30
2019-07,0
2019-08,0
2019-09,0
2019-10,26
2019-11,0
2019-12,0
2020-01,35
2020-02,34
2020-03,14
2020-04,0
2020-05,0
2020-06,42
2020-07,0
2020-08,42
2020-09,35
2020-10,30
2020-11,0
2020-12,93
2021-01,30
2021-02,0
2021-03,65
2021-04,55
2021-05,32
2021-06,80
2021-07,37
2021-08,77
2021-09,49
2021-10,81
2021-11,51
2021-12,0
2022-01,0
2022-02,100
2022-03,29
2022-04,0
2022-05,65
2022-06,22
2022-07,0
2022-08,0
2022-09,0
2022-10,78
2022-11,0
2022-12,58
2023-01,57
2023-02,0
2023-03,0
2023-04,24
2023-05,24
2023-06,0
