Month,coin: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,34
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,17
2011-04,0
2011-05,17
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,10
2011-12,13
2012-01,14
2012-02,0
2012-03,0
2012-04,15
2012-05,0
2012-06,22
2012-07,22
2012-08,0
2012-09,26
2012-10,0
2012-11,0
2012-12,0
2013-01,35
2013-02,20
2013-03,10
2013-04,0
2013-05,13
2013-06,0
2013-07,9
2013-08,6
2013-09,12
2013-10,10
2013-11,0
2013-12,9
2014-01,0
2014-02,0
2014-03,17
2014-04,17
2014-05,0
2014-06,15
2014-07,0
2014-08,6
2014-09,5
2014-10,0
2014-11,7
2014-12,0
2015-01,4
2015-02,10
2015-03,8
2015-04,0
2015-05,0
2015-06,14
2015-07,0
2015-08,7
2015-09,0
2015-10,0
2015-11,0
2015-12,10
2016-01,4
2016-02,25
2016-03,0
2016-04,11
2016-05,13
2016-06,0
2016-07,6
2016-08,0
2016-09,0
2016-10,0
2016-11,6
2016-12,10
2017-01,12
2017-02,0
2017-03,0
2017-04,7
2017-05,8
2017-06,28
2017-07,12
2017-08,11
2017-09,13
2017-10,0
2017-11,15
2017-12,35
2018-01,35
2018-02,31
2018-03,24
2018-04,23
2018-05,0
2018-06,16
2018-07,24
2018-08,39
2018-09,21
2018-10,0
2018-11,0
2018-12,14
2019-01,21
2019-02,10
2019-03,20
2019-04,22
2019-05,0
2019-06,11
2019-07,25
2019-08,28
2019-09,0
2019-10,0
2019-11,0
2019-12,12
2020-01,12
2020-02,0
2020-03,7
2020-04,9
2020-05,7
2020-06,18
2020-07,25
2020-08,0
2020-09,0
2020-10,24
2020-11,10
2020-12,19
2021-01,27
2021-02,96
2021-03,68
2021-04,100
2021-05,92
2021-06,49
2021-07,58
2021-08,63
2021-09,56
2021-10,76
2021-11,85
2021-12,79
2022-01,37
2022-02,43
2022-03,35
2022-04,38
2022-05,71
2022-06,44
2022-07,31
2022-08,29
2022-09,20
2022-10,19
2022-11,21
2022-12,22
2023-01,26
2023-02,17
2023-03,0
2023-04,0
2023-05,20
2023-06,0
