Month,Proof of Work: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,87
2010-10,76
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,43
2011-05,0
2011-06,31
2011-07,0
2011-08,0
2011-09,40
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,30
2012-10,0
2012-11,15
2012-12,0
2013-01,43
2013-02,22
2013-03,12
2013-04,15
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,18
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,24
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,12
2016-03,0
2016-04,0
2016-05,22
2016-06,22
2016-07,10
2016-08,0
2016-09,0
2016-10,0
2016-11,15
2016-12,0
2017-01,0
2017-02,0
2017-03,23
2017-04,0
2017-05,0
2017-06,15
2017-07,49
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,20
2018-05,0
2018-06,24
2018-07,20
2018-08,0
2018-09,15
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,61
2019-12,100
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,25
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,53
2022-04,0
2022-05,0
2022-06,16
2022-07,0
2022-08,24
2022-09,0
2022-10,56
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,16
2023-04,0
2023-05,0
2023-06,0
