Month,consensus: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,100
2011-02,0
2011-03,16
2011-04,0
2011-05,15
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,24
2012-03,24
2012-04,17
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,21
2012-12,11
2013-01,0
2013-02,9
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,8
2013-10,0
2013-11,0
2013-12,23
2014-01,0
2014-02,0
2014-03,10
2014-04,0
2014-05,0
2014-06,20
2014-07,0
2014-08,0
2014-09,0
2014-10,19
2014-11,10
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,12
2015-06,14
2015-07,0
2015-08,9
2015-09,6
2015-10,20
2015-11,0
2015-12,9
2016-01,8
2016-02,0
2016-03,0
2016-04,8
2016-05,0
2016-06,0
2016-07,0
2016-08,5
2016-09,0
2016-10,12
2016-11,0
2016-12,17
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,10
2017-10,0
2017-11,0
2017-12,0
2018-01,17
2018-02,23
2018-03,22
2018-04,11
2018-05,19
2018-06,16
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,33
2019-01,0
2019-02,14
2019-03,25
2019-04,28
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,18
2019-10,0
2019-11,23
2019-12,24
2020-01,12
2020-02,0
2020-03,39
2020-04,23
2020-05,0
2020-06,18
2020-07,31
2020-08,0
2020-09,24
2020-10,20
2020-11,79
2020-12,28
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,17
2021-06,0
2021-07,15
2021-08,24
2021-09,0
2021-10,0
2021-11,20
2021-12,38
2022-01,19
2022-02,27
2022-03,32
2022-04,0
2022-05,0
2022-06,0
2022-07,9
2022-08,0
2022-09,12
2022-10,0
2022-11,18
2022-12,0
2023-01,0
2023-02,19
2023-03,0
2023-04,20
2023-05,0
2023-06,44
