Month,crypto: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,11
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,2
2013-06,9
2013-07,2
2013-08,2
2013-09,0
2013-10,0
2013-11,0
2013-12,3
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,2
2014-09,3
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,2
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,2
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,6
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,4
2017-09,0
2017-10,0
2017-11,0
2017-12,14
2018-01,18
2018-02,16
2018-03,17
2018-04,17
2018-05,14
2018-06,12
2018-07,17
2018-08,6
2018-09,20
2018-10,9
2018-11,16
2018-12,20
2019-01,13
2019-02,6
2019-03,5
2019-04,6
2019-05,0
2019-06,6
2019-07,11
2019-08,4
2019-09,9
2019-10,0
2019-11,0
2019-12,10
2020-01,6
2020-02,4
2020-03,0
2020-04,2
2020-05,0
2020-06,11
2020-07,4
2020-08,6
2020-09,0
2020-10,0
2020-11,13
2020-12,6
2021-01,24
2021-02,25
2021-03,28
2021-04,64
2021-05,94
2021-06,49
2021-07,33
2021-08,50
2021-09,45
2021-10,59
2021-11,100
2021-12,61
2022-01,82
2022-02,69
2022-03,52
2022-04,55
2022-05,70
2022-06,57
2022-07,38
2022-08,35
2022-09,37
2022-10,40
2022-11,50
2022-12,41
2023-01,34
2023-02,39
2023-03,44
2023-04,23
2023-05,30
2023-06,30
