Month,Mount Gox: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,100
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,73
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,41
2012-11,20
2012-12,0
2013-01,0
2013-02,0
2013-03,25
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,14
2013-10,0
2013-11,0
2013-12,12
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,10
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,19
2014-11,31
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,16
2015-08,19
2015-09,18
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,13
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,23
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,26
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,43
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,46
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,29
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,17
2020-11,41
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,22
2021-05,23
2021-06,28
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,26
2022-03,0
2022-04,18
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,0
2022-11,15
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,23
2023-05,0
2023-06,0
