date,Polarity_avg,Subjectivity_avg,Class
2015-07-01,0.25,0.833,positive
2015-07-02,0.6486,0.725,positive
2015-07-03,0.3818,0.698,positive
2015-07-04,-0.4404,0.868,negative
2015-07-05,0.0,1.0,neutral
2015-07-06,-0.1531,0.65,negative
2015-07-07,-0.765,0.761,negative
2015-07-08,-0.3182,0.677,negative
2015-07-09,0.7096,0.753,positive
2015-07-10,-0.4588,0.84,negative
2015-07-11,0.0258,0.939,positive
2015-07-12,0.0,1.0,neutral
2015-07-13,0.0,1.0,neutral
2015-07-14,0.0,0.9015,neutral
2015-07-15,0.27115,0.858,neutral
2015-07-15,0.27115,0.858,positive
2015-07-16,0.1822,0.8300000000000001,positive
2015-07-16,0.1822,0.8300000000000001,negative
2015-07-17,0.5466500000000001,0.733,positive
2015-07-18,-0.46530000000000005,0.8400000000000001,negative
2015-07-19,-0.273,0.7555000000000001,negative
2015-07-20,0.0,1.0,neutral
2015-07-21,-0.6597,0.769,negative
2015-07-22,-0.6249,0.8565,negative
2015-07-23,0.743,0.761,positive
2015-07-24,0.4588,0.5715,positive
2015-07-25,0.5362,0.835,positive
2015-07-26,0.79935,0.623,positive
2015-07-27,-0.05135,0.9515,neutral
2015-07-27,-0.05135,0.9515,negative
2015-07-28,0.0,1.0,neutral
2015-07-29,0.7351,0.742,positive
2015-07-30,0.0,1.0,neutral
2015-07-31,0.8074,0.819,positive
2015-08-01,0.29295,0.848,positive
2015-08-01,0.29295,0.848,neutral
2015-08-02,-0.5106,0.904,negative
2015-08-03,-0.1806,0.9445,negative
2015-08-03,-0.1806,0.9445,neutral
2015-08-04,0.2934,0.8605,positive
2015-08-05,0.5267,0.8594999999999999,positive
2015-08-06,-0.2787,0.903,negative
2015-08-06,-0.2787,0.903,neutral
2015-08-07,0.4088,0.839,positive
2015-08-07,0.4088,0.839,neutral
2015-08-08,-0.4336,0.9115,negative
2015-08-09,-0.2168,0.9590000000000001,neutral
2015-08-09,-0.2168,0.9590000000000001,negative
2015-08-10,-0.0516,0.9315,negative
2015-08-11,-0.5574,0.763,negative
2015-08-12,0.0386,0.9119999999999999,positive
2015-08-12,0.0386,0.9119999999999999,neutral
2015-08-13,0.4393,0.761,positive
2015-08-14,0.51705,0.7685,positive
2015-08-15,-0.17,0.909,neutral
2015-08-15,-0.17,0.909,negative
2015-08-16,0.0,1.0,neutral
2015-08-17,-0.5492999999999999,0.703,negative
2015-08-18,0.30235,0.7835000000000001,positive
2015-08-19,-0.2263,0.913,negative
2015-08-20,0.2198,0.725,negative
2015-08-20,0.2198,0.725,positive
2015-08-21,-0.2997,0.9185,neutral
2015-08-21,-0.2997,0.9185,negative
2015-08-22,0.4767,0.8425,positive
2015-08-23,0.4588,0.8,positive
2015-08-24,0.33115,0.4065,positive
2015-08-24,0.33115,0.4065,negative
2015-08-25,-0.3612,0.871,negative
2015-08-26,-0.3182,0.8775,negative
2015-08-27,0.3404,0.8905000000000001,positive
2015-08-27,0.3404,0.8905000000000001,neutral
2015-08-28,0.34,0.863,positive
2015-08-29,0.0,1.0,neutral
2015-08-30,0.0,1.0,neutral
2015-08-31,0.2732,0.8440000000000001,positive
2015-09-01,-0.0516,0.688,negative
2015-09-02,0.4019,0.812,positive
2015-09-03,0.0,1.0,neutral
2015-09-04,0.25985,0.8620000000000001,positive
2015-09-05,0.6044,0.752,positive
2015-09-06,0.1909,0.9215,neutral
2015-09-06,0.1909,0.9215,positive
2015-09-07,0.25465,0.9099999999999999,neutral
2015-09-07,0.25465,0.9099999999999999,positive
2015-09-08,0.8236,0.5175,positive
2015-09-09,0.6911,0.732,positive
2015-09-10,0.4767,0.8465,positive
2015-09-11,0.0,1.0,neutral
2015-09-12,0.4019,0.8425,positive
2015-09-13,0.3818,0.879,positive
2015-09-14,0.20095,0.919,neutral
2015-09-14,0.20095,0.919,positive
2015-09-15,0.5326500000000001,0.84,positive
