date,monday,tuesday,wednesday,thursday,friday
2010 Jun-14 to Jun-18,75.11,75.29,76.12,77.52,77.05
2010 Jun-21 to Jun-25,78.53,78.08,75.22,75.17,76.21
2010 Jun-28 to Jul- 2,76.66,74.21,74.94,71.73,71.75
2010 Jul- 5 to Jul- 9,,73.08,72.97,74.56,75.2
2010 Jul-12 to Jul-16,74.35,76.45,76.63,75.52,75.55
2010 Jul-19 to Jul-23,76.29,76.31,75.75,77.59,77.27
2010 Jul-26 to Jul-30,77.9,75.52,76.66,78.6,77.5
2010 Aug- 2 to Aug- 6,81.93,83.6,83.76,82.9,81.28
2010 Aug- 9 to Aug-13,81.54,79.89,77.83,76.63,75.14
2010 Aug-16 to Aug-20,74.56,76.74,75.1,74.84,73.48
2010 Aug-23 to Aug-27,73.08,70.61,70.74,74.5,75.16
2010 Aug-30 to Sep- 3,76.05,75.51,75.53,74.93,75.03
2010 Sep- 6 to Sep-10,,75.78,77.48,77.87,77.54
2010 Sep-13 to Sep-17,78.52,78.89,78.46,78.89,77.43
2010 Sep-20 to Sep-24,79.42,78.76,77.29,77.69,78.73
2010 Sep-27 to Oct- 1,77.71,79.14,78.79,80.77,82.69
2010 Oct- 4 to Oct- 8,83.42,83.35,85.01,83.67,83.88
2010 Oct-11 to Oct-15,83.08,82.99,84.01,83.55,81.94
2010 Oct-18 to Oct-22,82.3,81.12,81.68,81.28,80.75
2010 Oct-25 to Oct-29,81.91,82.62,81.27,82.97,82.47
2010 Nov- 1 to Nov- 5,84.06,84.71,85.33,86.83,87.05
2010 Nov- 8 to Nov-12,87.15,87.93,87.92,88.08,86.07
2010 Nov-15 to Nov-19,85.49,83.98,83.36,83.7,83.17
2010 Nov-22 to Nov-26,82.34,82.37,84.53,,84.78
2010 Nov-29 to Dec- 3,85.9,86.02,88.56,89.37,90.65
2010 Dec- 6 to Dec-10,91.25,90.78,89.74,89.93,89.54
2010 Dec-13 to Dec-17,90.4,90.63,91.33,91.09,91.11
2010 Dec-20 to Dec-24,91.31,93.11,93.55,93.63,
2010 Dec-27 to Dec-31,93.08,93.52,93.52,92.5,93.23
2011 Jan- 3 to Jan- 7,95.82,93.52,95.07,94.95,94.25
2011 Jan-10 to Jan-14,95.05,96.8,97.86,97.86,97.86
2011 Jan-17 to Jan-21,,97.83,98.42,96.27,96.84
2011 Jan-24 to Jan-28,96.76,96.76,96.04,96.48,97.06
2011 Jan-31 to Feb- 4,98.97,100.4,101.3,101.69,99.43
2011 Feb- 7 to Feb-11,99.44,99.25,100.16,100.74,99.93
2011 Feb-14 to Feb-18,103.12,102.48,102.78,103.45,102.2
2011 Feb-21 to Feb-25,,106.82,109.77,113.91,111.47
2011 Feb-28 to Mar- 4,112.27,113.34,116.89,114.42,115.71
2011 Mar- 7 to Mar-11,116.58,112.32,115.19,114.07,114.07
2011 Mar-14 to Mar-18,112.95,111.11,110.96,114.18,114.13
2011 Mar-21 to Mar-25,114.92,115.63,115.65,115.41,115.45
2011 Mar-28 to Apr- 1,115.95,115.58,115.35,116.94,118.63
2011 Apr- 4 to Apr- 8,120.07,122.87,123.01,122.9,126.3
2011 Apr-11 to Apr-15,126.46,121.33,122.7,122.74,124.63
2011 Apr-18 to Apr-22,121.69,121.35,124.26,123.64,
2011 Apr-25 to Apr-29,,124.55,124.94,126.59,
2011 May- 2 to May- 6,126.64,124.01,121.55,111.93,113.69
2011 May- 9 to May-13,113.21,117.82,115.66,112.87,113.08
2011 May-16 to May-20,113.72,109.39,112.54,113.2,111.25
2011 May-23 to May-27,110.13,112.52,114.47,115.06,114.85
2011 May-30 to Jun- 3,,117.18,116.15,114.3,115.09
2011 Jun- 6 to Jun-10,115.4,116.14,118.43,119.95,118.71
2011 Jun-13 to Jun-17,120.49,120.35,114.67,114.69,113.74
2011 Jun-20 to Jun-24,112.21,112.02,113.59,108.27,104.79
2011 Jun-27 to Jul- 1,104.57,107.57,111.49,111.71,109.82
2011 Jul- 4 to Jul- 8,,113.21,113.55,117.4,117.4
2011 Jul-11 to Jul-15,117.35,117.36,118.46,117.38,118.06
2011 Jul-18 to Jul-22,117.05,118.18,118.52,118.25,118.99
