Date,Oil,Gold $,Silver $,Platinum $,Palladium $,Euro_USD,TIPS,VIX,Inflation_index,BNB,LTC,XMR,ETH,SP500,Polarity_avg,Subjectivity_avg,BTC Volume,BTC
2015-07-01,61.65,1168.0,15.63,1082.0,699.0,1.11,0.0,16.09,1.18,0.0,3.56,0.45,0.0,2077.42,0.25,0.833,24278990.0,234.36
2015-07-02,61.73,1165.25,15.61,1083.0,701.0,1.1066,0.0,16.790001,1.16,0.0,3.67,0.44,0.0,2076.78,0.6486,0.725,19530494.0,230.43
2015-07-03,59.06,1167.95,15.64,1082.0,685.0,1.1096,0.0,16.9000005,0.0,0.0,3.7,0.44,0.0,2074.775,0.3818,0.698,17172320.0,230.68
2015-07-04,58.43666666666667,1167.3,15.623333333333333,1070.3333333333333,680.0,1.1066666666666667,0.0,16.936667,0.3566666666666667,0.0,3.7,0.46,0.0,2072.7700000000004,-0.4404,0.868,14057235.0,234.78
2015-07-05,57.81333333333333,1166.65,15.606666666666667,1058.6666666666667,675.0,1.1037333333333332,0.0,16.973333500000003,0.7133333333333334,0.0,4.5,0.47,0.0,2070.7650000000003,0.0,1.0,39737311.0,247.33
2015-07-06,57.19,1166.0,15.59,1047.0,670.0,1.1008,0.0,17.01,1.07,0.0,4.9,0.46,0.0,2068.76,-0.1531,0.65,44710569.0,243.55
2015-07-07,54.72,1156.25,15.61,1046.0,661.0,1.0931,0.0,16.09,1.04,0.0,4.76,0.47,0.0,2081.34,-0.765,0.761,26124932.0,241.87
2015-07-08,55.7,1158.5,14.99,1016.0,642.0,1.1024,0.0,19.66,1.02,0.0,5.75,0.46,0.0,2046.68,-0.3182,0.677,33600036.0,244.63
2015-07-09,57.83,1164.25,15.38,1032.0,654.0,1.1054,0.0,19.969999,1.13,0.0,6.81,0.45,0.0,2051.31,0.7096,0.753,36409070.0,243.38
2015-07-10,57.72,1159.3,15.45,1032.0,655.0,1.1185,0.0,16.83,1.19,0.0,4.04,0.47,0.0,2076.62,-0.4588,0.84,90752124.0,255.26
2015-07-11,57.69,1157.5333333333333,15.45,1029.0,657.0,1.1139666666666668,0.0,15.853333333333332,1.1966666666666665,0.0,3.92,0.48,0.0,2084.2799999999997,0.0258,0.939,36833527.0,262.62
2015-07-12,57.660000000000004,1155.7666666666667,15.45,1026.0,659.0,1.1094333333333333,0.0,14.876666666666667,1.2033333333333334,0.0,4.75,0.56,0.0,2091.94,0.0,1.0,50537586.0,279.36
2015-07-13,57.63,1154.0,15.45,1023.0,661.0,1.1049,0.0,13.9,1.21,0.0,4.26,0.52,0.0,2099.6,0.0,1.0,55763749.0,265.96
2015-07-14,57.2,1157.4,15.28,1030.0,664.0,1.1031,0.0,13.37,1.2,0.0,4.23,0.52,0.0,2108.95,0.0,0.9015,26160823.0,261.24
