,date,Class,Polarity,Subjectivity
0,2015-07-01,positive,0.25,0.833
1,2015-07-02,positive,0.6486,0.725
2,2015-07-03,positive,0.3818,0.698
3,2015-07-04,negative,-0.4404,0.868
4,2015-07-05,neutral,0.0,1.0
5,2015-07-06,negative,-0.1531,0.65
6,2015-07-07,negative,-0.765,0.761
7,2015-07-08,negative,-0.3182,0.677
8,2015-07-09,positive,0.7096,0.753
9,2015-07-10,negative,-0.4588,0.84
10,2015-07-11,positive,0.0258,0.939
11,2015-07-12,neutral,0.0,1.0
12,2015-07-12,neutral,0.0,1.0
13,2015-07-13,neutral,0.0,1.0
14,2015-07-13,neutral,0.0,1.0
15,2015-07-14,neutral,0.0,1.0
16,2015-07-14,neutral,0.0,0.803
17,2015-07-15,neutral,0.0,0.843
18,2015-07-15,positive,0.5423,0.873
19,2015-07-16,positive,0.5423,0.873
20,2015-07-16,negative,-0.1779,0.787
21,2015-07-17,positive,0.4939,0.728
22,2015-07-17,positive,0.5994,0.738
23,2015-07-18,negative,-0.6124,0.783
24,2015-07-18,negative,-0.3182,0.897
25,2015-07-19,negative,-0.296,0.753
26,2015-07-19,negative,-0.25,0.758
27,2015-07-20,neutral,0.0,1.0
28,2015-07-20,neutral,0.0,1.0
29,2015-07-21,negative,-0.6597,0.779
30,2015-07-21,negative,-0.6597,0.759
31,2015-07-22,negative,-0.6249,0.849
32,2015-07-22,negative,-0.6249,0.864
33,2015-07-23,positive,0.743,0.792
34,2015-07-23,positive,0.743,0.73
35,2015-07-24,positive,0.4588,0.594
36,2015-07-24,positive,0.4588,0.549
37,2015-07-25,positive,0.4019,0.87
38,2015-07-25,positive,0.6705,0.8
39,2015-07-26,positive,0.8481,0.653
40,2015-07-26,positive,0.7506,0.593
41,2015-07-27,neutral,0.0,1.0
42,2015-07-27,negative,-0.1027,0.903
43,2015-07-28,neutral,0.0,1.0
44,2015-07-28,neutral,0.0,1.0
45,2015-07-29,positive,0.7351,0.763
46,2015-07-29,positive,0.7351,0.721
47,2015-07-30,neutral,0.0,1.0
48,2015-07-31,positive,0.8074,0.819
49,2015-08-01,positive,0.5859,0.696
